hafta	hafta+Noun+A3sg+Pnon+Nom
avans	avans+Noun+A3sg+Pnon+Nom
hesabına	hesap+Noun+A3sg+P3sg+Dat
liralık	lira+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
ödeme	ödeme+Noun+A3sg+Pnon+Nom
trilyona	trilyon+Num+Card^DB+Noun+Zero+A3sg+Pnon+Dat
döviz	döviz+Noun+A3sg+Pnon+Nom
rezervlerinde	rezerv+Noun+A3pl+P3sg+Loc
dolarlık	dolar+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
erime	eri+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yana	yan+Noun+A3sg+Pnon+Dat
kaynaklarına	kaynak+Noun+A3pl+P3sg+Dat
durumunu	durum+Noun+A3sg+P3sg+Acc
tutarını	tutar+Noun+A3sg+P3sg+Acc
bilançosuna	bilanço+Noun+A3sg+P3sg+Dat
lira	lira+Noun+A3sg+Pnon+Nom
haftada	hafta+Noun+A3sg+Pnon+Loc
trilyonluk	trilyon+Num+Card^DB+Noun+Ness+A3sg+Pnon+Nom
azalışla	azal+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
liraya	lira+Noun+A3sg+Pnon+Dat
ödemesiyle	ödeme+Noun+A3sg+P3sg+Ins
varlıkları	varlık+Noun+A3pl+P3sg+Nom
ölçüde	ölçü+Noun+A3sg+Pnon+Loc
varlıklar	varlık+Noun+A3pl+Pnon+Nom
toplamı	toplam+Noun+A3sg+Pnon+Acc
kredilerin	kredi+Noun+A3pl+Pnon+Gen
gerilemesi	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
yanında	yan+Noun+A3sg+P3sg+Loc
yoluyla	yol+Noun+A3sg+P3sg+Ins
piyasadan	piyasa+Noun+A3sg+Pnon+Abl
likiditenin	likidite+Noun+A3sg+Pnon+Gen
etkisiyle	etki+Noun+A3sg+P3sg+Ins
varlıkların	varlık+Noun+A3pl+Pnon+Gen
azalışı	azal+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
rezerv	rezerv+Noun+A3sg+Pnon+Nom
para	para+Noun+A3sg+Pnon+Nom
parasında	para+Noun+A3sg+P3sg+Loc
gerileme	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
piyasa	piyasa+Noun+A3sg+Pnon+Nom
borcu	borç+Noun+A3sg+Pnon+Acc
artışla	art+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
itibarı	itibar+Noun+A3sg+P3sg+Nom
düzeyinde	düzey+Noun+A3sg+P3sg+Loc
emisyon	emisyon+Noun+A3sg+Pnon+Nom
miktarı	miktar+Noun+A3sg+P3sg+Nom
yönünden	yön+Noun+A3sg+P3sg+Abl
dolar	dolar+Noun+A3sg+Pnon+Nom
rezervleri	rezerv+Noun+A3pl+P3sg+Nom
dolara	dolar+Noun+A3sg+Pnon+Dat
borç	borç+Noun+A3sg+Pnon+Nom
ödemeleri	öde+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Acc
yılın	yıl+Noun+A3sg+Pnon+Gen
ayında	ay+Noun+A3sg+P3sg+Loc
verilerine	veri+Noun+A3pl+P3sg+Dat
tarihleri	tarih+Noun+A3pl+P3sg+Nom
ödemelerin	ödeme+Noun+A3pl+Pnon+Gen
doları	dolar+Noun+A3sg+Pnon+Acc
kamu	kamu+Noun+A3sg+Pnon+Nom
kuruluşlarına	kuruluş+Noun+A3pl+P3sg+Dat
yıl	yıl+Noun+A3sg+Pnon+Nom
ödemelerinin	ödeme+Noun+A3pl+P3sg+Gen
piyasalarında	piyasa+Noun+A3pl+P3sg+Loc
şoku	şok+Noun+A3sg+P3sg+Nom
petrolünün	petrol+Noun+A3sg+P3sg+Gen
boru	boru+Noun+A3sg+Pnon+Nom
hattından	hat+Noun+A3sg+P3sg+Abl
akmasını	ak+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
kararının	karar+Noun+A3sg+P3sg+Gen
uygulanması	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
petrol	petrol+Noun+A3sg+Pnon+Nom
fiyatlarının	fiyat+Noun+A3pl+P3sg+Gen
beklenenin	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
hızla	hız+Noun+A3sg+Pnon+Ins
artmasına	art+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
neden	neden+Noun+A3sg+Pnon+Nom
satış	sat+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kotası	kota+Noun+A3sg+P3sg+Nom
miktara	miktar+Noun+A3sg+Pnon+Dat
paraya	para+Noun+A3sg+Pnon+Dat
belirlendiği	belirle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
firmalarla	firma+Noun+A3pl+Pnon+Ins
sözleşmeleri	sözleşme+Noun+A3pl+P3sg+Nom
iptal	iptal+Noun+A3sg+Pnon+Nom
gıdaya	gıda+Noun+A3sg+Pnon+Dat
miktarda	miktar+Noun+A3sg+Pnon+Loc
izni	izin+Noun+A3sg+P3sg+Nom
kararı	karar+Noun+A3sg+Pnon+Acc
yönetimine	yönetim+Noun+A3sg+P3sg+Dat
ay	ay+Noun+A3sg+Pnon+Nom
içinde	iç+Noun+A3sg+P2sg+Loc
değerinde	değer+Noun+A3sg+P3sg+Loc
satmasına	sat+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
izin	izin+Noun+A3sg+Pnon+Nom
kotasını	kota+Noun+A3sg+P3sg+Acc
sözleşme	sözleşme+Noun+A3sg+Pnon+Nom
kotanın	kota+Noun+A3sg+Pnon+Gen
üzerine	üzer+Noun+A3sg+P2sg+Dat
taleple	talep+Noun+A3sg+Pnon+Ins
karşılaşacağı	karşılaş+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
arttırılmasını	art+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
isteyeceği	iste+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
olmak	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
üye	üye+Noun+A3sg+Pnon+Nom
ülkelerin	ülke+Noun+A3pl+Pnon+Gen
diplomatları	diplomat+Noun+A3pl+P3pl+Nom
aylık	aylık+Noun+A3sg+Pnon+Nom
süre	süre+Noun+A3sg+Pnon+Nom
doluncaya	dol+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
talebini	talep+Noun+A3sg+P3sg+Acc
gözönüne	gözönü+Noun+A3sg+P3sg+Dat
almayacaklarını	al+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
nedenle	neden+Noun+A3sg+Pnon+Ins
aralarında	ara+Noun+A3sg+P3pl+Loc
un	un+Noun+A3sg+Pnon+Nom
bulunduğu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dünya	dünya+Noun+A3sg+Pnon+Nom
şirket	şirket+Noun+A3sg+Pnon+Nom
tanıdığı	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
parametreler	parametre+Noun+A3pl+Pnon+Nom
kalabilmek	kal+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
ayı	ay+Noun+A3sg+P3sg+Nom
hacimlerini	hacim+Noun+A3pl+P3sg+Acc
yarıya	yarı+Noun+A3sg+Pnon+Dat
azalttığını	azal+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
açıklama	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
piyasalara	piyasa+Noun+A3pl+Pnon+Dat
beklenenden	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Abl
akacağı	ak+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
sinyalini	sinyal+Noun+A3sg+P3sg+Acc
fiyatları	fiyat+Noun+A3pl+Pnon+Acc
etki	etki+Noun+A3sg+Pnon+Nom
sürece	süre+Noun+A3sg+Pnon+Equ
sınırını	sınır+Noun+A3sg+P3sg+Acc
aşmamak	aş+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
satmak	sat+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
zorunda	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc
sendikacıya	sendikacı+Noun+A3sg+Pnon+Dat
suç	suç+Noun+A3sg+Pnon+Nom
duyurusu	duyuru+Noun+A3sg+P3sg+Nom
hakaret	hakaret+Noun+A3sg+Pnon+Nom
ettiği	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
suçlamalarda	suçla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
gerekçesiyle	gerekçe+Noun+A3sg+P3sg+Ins
hakkında	hak+Noun+A3sg+P3sg+Loc
duyurusunda	duyuru+Noun+A3sg+P3sg+Loc
verdiği	ver+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dilekçesinde	dilekçe+Noun+A3sg+P3sg+Loc
açıklamalarda	açıkla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
hakarette	hakaret+Noun+A3sg+Pnon+Loc
bulunduğunu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ifade	ifade+Noun+A3sg+Pnon+Nom
bulunmadığını	bulun+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
sendikacı	sendikacı+Noun+A3sg+Pnon+Nom
olmasından	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
dost	dost+Noun+A3sg+Pnon+Nom
olduğunu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
yandan	yan+Noun+A3sg+Pnon+Abl
tazminat	tazminat+Noun+A3sg+Pnon+Nom
istemiyle	istem+Noun+A3sg+P3sg+Ins
açtığı	aç+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
davanın	dava+Noun+A3sg+Pnon+Gen
duruşması	duruşma+Noun+A3sg+P3sg+Nom
boy	boy+Noun+A3sg+Pnon+Nom
hedefi	hedef+Noun+A3sg+P3sg+Nom
rektörler	rektör+Noun+A3pl+Pnon+Nom
türbana	türban+Noun+A3sg+Pnon+Dat
serbestlik	serbest+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
getirme	getir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
girişimiyle	girişim+Noun+A3sg+P3sg+Ins
kriz	kriz+Noun+A3sg+Pnon+Nom
