hafta	hafta+Noun+A3sg+Pnon+Nom
avans	avans+Noun+A3sg+Pnon+Nom
hesabına	hesap+Noun+A3sg+P3sg+Dat
liralık	lira+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
ödeme	ödeme+Noun+A3sg+Pnon+Nom
trilyona	trilyon+Num+Card^DB+Noun+Zero+A3sg+Pnon+Dat
döviz	döviz+Noun+A3sg+Pnon+Nom
rezervlerinde	rezerv+Noun+A3pl+P3sg+Loc
dolarlık	dolar+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
erime	eri+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yana	yan+Noun+A3sg+Pnon+Dat
kaynaklarına	kaynak+Noun+A3pl+P3sg+Dat
durumunu	durum+Noun+A3sg+P3sg+Acc
tutarını	tutar+Noun+A3sg+P3sg+Acc
bilançosuna	bilanço+Noun+A3sg+P3sg+Dat
azalışla	azal+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
varlıkları	varlık+Noun+A3pl+P3sg+Nom
ölçüde	ölçü+Noun+A3sg+Pnon+Loc
toplamı	toplam+Noun+A3sg+Pnon+Acc
kredilerin	kredi+Noun+A3pl+Pnon+Gen
gerilemesi	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
yoluyla	yol+Noun+A3sg+P3sg+Ins
piyasadan	piyasa+Noun+A3sg+Pnon+Abl
likiditenin	likidite+Noun+A3sg+Pnon+Gen
etkisiyle	etki+Noun+A3sg+P3sg+Ins
para	para+Noun+A3sg+Pnon+Nom
borcu	borç+Noun+A3sg+Pnon+Acc
artışla	art+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
itibarı	itibar+Noun+A3sg+P3sg+Nom
düzeyinde	düzey+Noun+A3sg+P3sg+Loc
emisyon	emisyon+Noun+A3sg+Pnon+Nom
miktarı	miktar+Noun+A3sg+P3sg+Nom
yönünden	yön+Noun+A3sg+P3sg+Abl
ödemeleri	öde+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Acc
yılın	yıl+Noun+A3sg+Pnon+Gen
ayında	ay+Noun+A3sg+P3sg+Loc
verilerine	veri+Noun+A3pl+P3sg+Dat
tarihleri	tarih+Noun+A3pl+P3sg+Nom
kamu	kamu+Noun+A3sg+Pnon+Nom
kuruluşlarına	kuruluş+Noun+A3pl+P3sg+Dat
şoku	şok+Noun+A3sg+P3sg+Nom
petrolünün	petrol+Noun+A3sg+P3sg+Gen
boru	boru+Noun+A3sg+Pnon+Nom
hattından	hat+Noun+A3sg+P3sg+Abl
akmasını	ak+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
kararının	karar+Noun+A3sg+P3sg+Gen
uygulanması	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
fiyatlarının	fiyat+Noun+A3pl+P3sg+Gen
beklenenin	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
hızla	hız+Noun+A3sg+Pnon+Ins
neden	neden+Noun+A3sg+Pnon+Nom
satış	sat+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kotası	kota+Noun+A3sg+P3sg+Nom
belirlendiği	belirle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
firmalarla	firma+Noun+A3pl+Pnon+Ins
sözleşmeleri	sözleşme+Noun+A3pl+P3sg+Nom
iptal	iptal+Noun+A3sg+Pnon+Nom
gıdaya	gıda+Noun+A3sg+Pnon+Dat
izni	izin+Noun+A3sg+P3sg+Nom
yönetimine	yönetim+Noun+A3sg+P3sg+Dat
içinde	iç+Noun+A3sg+P2sg+Loc
değerinde	değer+Noun+A3sg+P3sg+Loc
üzerine	üzer+Noun+A3sg+P2sg+Dat
taleple	talep+Noun+A3sg+Pnon+Ins
karşılaşacağı	karşılaş+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
isteyeceği	iste+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
olmak	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
üye	üye+Noun+A3sg+Pnon+Nom
ülkelerin	ülke+Noun+A3pl+Pnon+Gen
diplomatları	diplomat+Noun+A3pl+P3pl+Nom
aylık	aylık+Noun+A3sg+Pnon+Nom
süre	süre+Noun+A3sg+Pnon+Nom
doluncaya	dol+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
gözönüne	gözönü+Noun+A3sg+P3sg+Dat
almayacaklarını	al+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
aralarında	ara+Noun+A3sg+P3pl+Loc
un	un+Noun+A3sg+Pnon+Nom
bulunduğu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dünya	dünya+Noun+A3sg+Pnon+Nom
şirket	şirket+Noun+A3sg+Pnon+Nom
tanıdığı	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
parametreler	parametre+Noun+A3pl+Pnon+Nom
kalabilmek	kal+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
hacimlerini	hacim+Noun+A3pl+P3sg+Acc
yarıya	yarı+Noun+A3sg+Pnon+Dat
açıklama	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
sinyalini	sinyal+Noun+A3sg+P3sg+Acc
sınırını	sınır+Noun+A3sg+P3sg+Acc
aşmamak	aş+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
zorunda	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc
sendikacıya	sendikacı+Noun+A3sg+Pnon+Dat
suç	suç+Noun+A3sg+Pnon+Nom
duyurusu	duyuru+Noun+A3sg+P3sg+Nom
hakaret	hakaret+Noun+A3sg+Pnon+Nom
ettiği	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
suçlamalarda	suçla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
gerekçesiyle	gerekçe+Noun+A3sg+P3sg+Ins
hakkında	hak+Noun+A3sg+P3sg+Loc
verdiği	ver+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dilekçesinde	dilekçe+Noun+A3sg+P3sg+Loc
ifade	ifade+Noun+A3sg+Pnon+Nom
dost	dost+Noun+A3sg+Pnon+Nom
tazminat	tazminat+Noun+A3sg+Pnon+Nom
istemiyle	istem+Noun+A3sg+P3sg+Ins
açtığı	aç+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
davanın	dava+Noun+A3sg+Pnon+Gen
duruşması	duruşma+Noun+A3sg+P3sg+Nom
boy	boy+Noun+A3sg+Pnon+Nom
hedefi	hedef+Noun+A3sg+P3sg+Nom
rektörler	rektör+Noun+A3pl+Pnon+Nom
türbana	türban+Noun+A3sg+Pnon+Dat
serbestlik	serbest+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
getirme	getir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
girişimiyle	girişim+Noun+A3sg+P3sg+Ins
kriz	kriz+Noun+A3sg+Pnon+Nom
rapor	rapor+Noun+A3sg+Pnon+Nom
üniversiteden	üniversite+Noun+A3sg+Pnon+Abl
başörtüsüne	başörtü+Noun+A3sg+P3sg+Dat
ortaya	orta+Noun+A3sg+Pnon+Dat
yasağı	yasak+Noun+A3sg+P3sg+Nom
öğretim	öğretim+Noun+A3sg+Pnon+Nom
oluşturduğu	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
araştırmalar	araştır+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
merkezi	merkez+Noun+A3sg+P3sg+Nom
gençlik	gençlik+Noun+A3sg+Pnon+Nom
örgütü	örgüt+Noun+A3sg+P3sg+Nom
bilgilerle	bilgi+Noun+A3pl+Pnon+Ins
savunduğu	savun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
yaygınlıkta	yaygın+Adj^DB+Noun+Ness+A3sg+Pnon+Loc
öğrenciye	öğrenci+Noun+A3sg+Pnon+Dat
sahip	sahip+Noun+A3sg+Pnon+Nom
dikkat	dikkat+Noun+A3sg+Pnon+Nom
gün	gün+Noun+A3sg+Pnon+Nom
yasasında	yasa+Noun+A3sg+P3sg+Loc
değişiklikten	değişik+Adj^DB+Noun+Ness+A3sg+Pnon+Abl
görevden	görev+Noun+A3sg+Pnon+Abl
bırakma	bırak+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
fakültelerinden	fakülte+Noun+A3pl+P3sg+Abl
tepki	tepki+Noun+A3sg+Pnon+Nom
imzasıyla	imza+Noun+A3sg+P3sg+Ins
dün	dün+Noun+A3sg+Pnon+Nom
temelden	temel+Noun+A3sg+Pnon+Abl
yıkmaya	yık+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
boyutlara	boyut+Noun+A3pl+Pnon+Dat
ulaştığı	ulaş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
insan	insan+Noun+A3sg+Pnon+Nom
arkasına	arka+Noun+A3sg+P3sg+Dat
çalışmaların	çalış+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Gen
örneğinin	örnek+Noun+A3sg+P3sg+Gen
kıyafet	kıyafet+Noun+A3sg+Pnon+Nom
devrimlerine	devrim+Noun+A3pl+P3sg+Dat
düzenlemeler	düzenle+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
sözler	söz+Noun+A3pl+Pnon+Nom
nefret	nefret+Noun+A3sg+Pnon+Nom
cevap	cevap+Noun+A3sg+Pnon+Nom
delikanlı	delikanlı+Noun+A3sg+Pnon+Nom
konuştuğumu	konuş+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
yardım	yardım+Noun+A3sg+Pnon+Nom
ilgileneceğini	ilgilen+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
şeyi	şey+Noun+A3sg+Pnon+Acc
çöpe	çöp+Noun+A3sg+Pnon+Dat
evraklarım	evrak+Noun+A3pl+P1sg+Nom
endişelenme	endişe+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oynamaya	oyna+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
kahramanlara	kahraman+Noun+A3pl+Pnon+Dat
görmek	gör+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
mutluluk	mutlu+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
zarar	zarar+Noun+A3sg+Pnon+Nom
