hesabına	hesap+Noun+A3sg+P3sg+Dat
liralık	lira+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
trilyona	trilyon+Num+Card^DB+Noun+Zero+A3sg+Pnon+Dat
rezervlerinde	rezerv+Noun+A3pl+P3sg+Loc
dolarlık	dolar+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
erime	eri+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yana	yan+Noun+A3sg+Pnon+Dat
kaynaklarına	kaynak+Noun+A3pl+P3sg+Dat
durumunu	durum+Noun+A3sg+P3sg+Acc
tutarını	tutar+Noun+A3sg+P3sg+Acc
bilançosuna	bilanço+Noun+A3sg+P3sg+Dat
azalışla	azal+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
varlıkları	varlık+Noun+A3pl+P3sg+Nom
ölçüde	ölçü+Noun+A3sg+Pnon+Loc
toplamı	toplam+Noun+A3sg+Pnon+Acc
kredilerin	kredi+Noun+A3pl+Pnon+Gen
gerilemesi	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
yoluyla	yol+Noun+A3sg+P3sg+Ins
piyasadan	piyasa+Noun+A3sg+Pnon+Abl
likiditenin	likidite+Noun+A3sg+Pnon+Gen
etkisiyle	etki+Noun+A3sg+P3sg+Ins
borcu	borç+Noun+A3sg+Pnon+Acc
artışla	art+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
itibarı	itibar+Noun+A3sg+P3sg+Nom
düzeyinde	düzey+Noun+A3sg+P3sg+Loc
miktarı	miktar+Noun+A3sg+P3sg+Nom
yönünden	yön+Noun+A3sg+P3sg+Abl
ödemeleri	öde+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Acc
yılın	yıl+Noun+A3sg+Pnon+Gen
ayında	ay+Noun+A3sg+P3sg+Loc
verilerine	veri+Noun+A3pl+P3sg+Dat
tarihleri	tarih+Noun+A3pl+P3sg+Nom
kuruluşlarına	kuruluş+Noun+A3pl+P3sg+Dat
şoku	şok+Noun+A3sg+P3sg+Nom
petrolünün	petrol+Noun+A3sg+P3sg+Gen
hattından	hat+Noun+A3sg+P3sg+Abl
akmasını	ak+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
kararının	karar+Noun+A3sg+P3sg+Gen
uygulanması	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
fiyatlarının	fiyat+Noun+A3pl+P3sg+Gen
beklenenin	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
hızla	hız+Noun+A3sg+Pnon+Ins
satış	sat+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kotası	kota+Noun+A3sg+P3sg+Nom
belirlendiği	belirle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
