konuştum	konuş+Verb+Pos+Past+A1sg
dinlerim	dinle+Verb+Pos+Aor+A1sg
çıkmamış	çık+Verb+Neg+Narr+A3sg
başladınız	başla+Verb+Pos+Past+A2pl
çıkarsınız	çık+Verb+Pos+Aor+A2pl
kalmadı	kal+Verb+Neg+Past+A3sg
bırakmadım	bırak+Verb+Neg+Past+A1sg
çektik	çek+Verb+Pos+Past+A1pl
inanır	inan+Verb+Pos+Aor+A3sg
seviyor	sev+Verb+Pos+Prog1+A3sg
inandık	inan+Verb+Pos+Past+A1pl
kesecek	kes+Verb+Pos+Fut+A3sg
yemedin	ye+Verb+Neg+Past+A2sg
geliyorsunuz	gel+Verb+Pos+Prog1+A2pl
bekliyor	bekle+Verb+Pos+Prog1+A3sg
demem	de+Verb+Neg+Aor+A1sg
olmuşum	ol+Verb+Pos+Narr+A1sg
seviyorlar	sev+Verb+Pos+Prog1+A3pl
gelmişler	gel+Verb+Pos+Narr+A3pl
alırlar	al+Verb+Pos+Aor+A3pl
ödediniz	öde+Verb+Pos+Past+A2pl
kalırsınız	kal+Verb+Pos+Aor+A2pl
der	de+Verb+Pos+Aor+A3sg
gittiler	git+Verb+Pos+Past+A3pl
bulacak	bul+Verb+Pos+Fut+A3sg
duymuş	duy+Verb+Pos+Narr+A3sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
gönderdim	gönder+Verb+Pos+Past+A1sg
sevmediniz	sev+Verb+Neg+Past+A2pl
kaybettik	kaybet+Verb+Pos+Past+A1pl
gitmiyorsun	git+Verb+Neg+Prog1+A2sg
düşünüyor	düşün+Verb+Pos+Prog1+A3sg
anladı	anla+Verb+Pos+Past+A3sg
bırakmışlar	bırak+Verb+Pos+Narr+A3pl
ediyorsunuz	et+Verb+Pos+Prog1+A2pl
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
başlayacaklar	başla+Verb+Pos+Fut+A3pl
getirmem	getir+Verb+Neg+Aor+A1sg
ödediler	öde+Verb+Pos+Past+A3pl
duydunuz	duy+Verb+Pos+Past+A2pl
tanırlar	tanı+Verb+Pos+Aor+A3pl
bulur	bul+Verb+Pos+Aor+A3sg
okuyor	oku+Verb+Pos+Prog1+A3sg
olmadılar	ol+Verb+Neg+Past+A3pl
getirmedin	getir+Verb+Neg+Past+A2sg
anlamıyor	anla+Verb+Neg+Prog1+A3sg
bırakmadık	bırak+Verb+Neg+Past+A1pl
söylemem	söyle+Verb+Neg+Aor+A1sg
yapıyorlar	yap+Verb+Pos+Prog1+A3pl
görürsünüz	gör+Verb+Pos+Aor+A2pl
koydum	koy+Verb+Pos+Past+A1sg
başladım	başla+Verb+Pos+Past+A1sg
duyarlar	duy+Verb+Pos+Aor+A3pl
etmiş	et+Verb+Pos+Narr+A3sg
yaşıyorsun	yaşa+Verb+Pos+Prog1+A2sg
dersiniz	de+Verb+Pos+Aor+A2pl
düşünür	düşün+Verb+Pos+Aor+A3sg
olmadım	ol+Verb+Neg+Past+A1sg
kesiyorlar	kes+Verb+Pos+Prog1+A3pl
düştüler	düş+Verb+Pos+Past+A3pl
bilmiyor	bil+Verb+Neg+Prog1+A3sg
yazıyorlar	yaz+Verb+Pos+Prog1+A3pl
gidiyorsunuz	git+Verb+Pos+Prog1+A2pl
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
kurdu	kur+Verb+Pos+Past+A3sg
tanıyacak	tanı+Verb+Pos+Fut+A3sg
kesmez	kes+Verb+Neg+Aor+A3sg
girmeyeceğim	gir+Verb+Neg+Fut+A1sg
gelmiyor	gel+Verb+Neg+Prog1+A3sg
bilmezsiniz	bil+Verb+Neg+Aor+A2pl
almışım	al+Verb+Pos+Narr+A1sg
gönderdin	gönder+Verb+Pos+Past+A2sg
