hafta	hafta+Noun+A3sg+Pnon+Nom
avans	avans+Noun+A3sg+Pnon+Nom
ödeme	ödeme+Noun+A3sg+Pnon+Nom
döviz	döviz+Noun+A3sg+Pnon+Nom
para	para+Noun+A3sg+Pnon+Nom
emisyon	emisyon+Noun+A3sg+Pnon+Nom
kamu	kamu+Noun+A3sg+Pnon+Nom
boru	boru+Noun+A3sg+Pnon+Nom
neden	neden+Noun+A3sg+Pnon+Nom
iptal	iptal+Noun+A3sg+Pnon+Nom
üye	üye+Noun+A3sg+Pnon+Nom
aylık	aylık+Noun+A3sg+Pnon+Nom
süre	süre+Noun+A3sg+Pnon+Nom
un	un+Noun+A3sg+Pnon+Nom
dünya	dünya+Noun+A3sg+Pnon+Nom
şirket	şirket+Noun+A3sg+Pnon+Nom
suç	suç+Noun+A3sg+Pnon+Nom
hakaret	hakaret+Noun+A3sg+Pnon+Nom
ifade	ifade+Noun+A3sg+Pnon+Nom
dost	dost+Noun+A3sg+Pnon+Nom
tazminat	tazminat+Noun+A3sg+Pnon+Nom
boy	boy+Noun+A3sg+Pnon+Nom
kriz	kriz+Noun+A3sg+Pnon+Nom
rapor	rapor+Noun+A3sg+Pnon+Nom
öğretim	öğretim+Noun+A3sg+Pnon+Nom
gençlik	gençlik+Noun+A3sg+Pnon+Nom
sahip	sahip+Noun+A3sg+Pnon+Nom
dikkat	dikkat+Noun+A3sg+Pnon+Nom
gün	gün+Noun+A3sg+Pnon+Nom
tepki	tepki+Noun+A3sg+Pnon+Nom
dün	dün+Noun+A3sg+Pnon+Nom
insan	insan+Noun+A3sg+Pnon+Nom
kıyafet	kıyafet+Noun+A3sg+Pnon+Nom
nefret	nefret+Noun+A3sg+Pnon+Nom
cevap	cevap+Noun+A3sg+Pnon+Nom
delikanlı	delikanlı+Noun+A3sg+Pnon+Nom
yardım	yardım+Noun+A3sg+Pnon+Nom
zarar	zarar+Noun+A3sg+Pnon+Nom
kız	kız+Noun+A3sg+Pnon+Nom
oğlan	oğlan+Noun+A3sg+Pnon+Nom
saat	saat+Noun+A3sg+Pnon+Nom
istirahat	istirahat+Noun+A3sg+Pnon+Nom
ısrar	ısrar+Noun+A3sg+Pnon+Nom
kalıp	kalıp+Noun+A3sg+Pnon+Nom
sahne	sahne+Noun+A3sg+Pnon+Nom
tür	tür+Noun+A3sg+Pnon+Nom
nebze	nebze+Noun+A3sg+Pnon+Nom
kadın	kadın+Noun+A3sg+Pnon+Nom
şikayet	şikayet+Noun+A3sg+Pnon+Nom
binek	binek+Noun+A3sg+Pnon+Nom
zaman	zaman+Noun+A3sg+Pnon+Nom
şüphe	şüphe+Noun+A3sg+Pnon+Nom
haber	haber+Noun+A3sg+Pnon+Nom
pırtık	pırtık+Noun+A3sg+Pnon+Nom
dantel	dantel+Noun+A3sg+Pnon+Nom
merhamet	merhamet+Noun+A3sg+Pnon+Nom
an	an+Noun+A3sg+Pnon+Nom
hüsran	hüsran+Noun+A3sg+Pnon+Nom
vaziyet	vaziyet+Noun+A3sg+Pnon+Nom
hayret	hayret+Noun+A3sg+Pnon+Nom
yanıt	yanıt+Noun+A3sg+Pnon+Nom
temin	temin+Noun+A3sg+Pnon+Nom
küfür	küfür+Noun+A3sg+Pnon+Nom
adam	adam+Noun+A3sg+Pnon+Nom
centilmen	centilmen+Noun+A3sg+Pnon+Nom
mensup	mensup+Noun+A3sg+Pnon+Nom
utanç	utanç+Noun+A3sg+Pnon+Nom
inan	inan+Noun+A3sg+Pnon+Nom
köpek	köpek+Noun+A3sg+Pnon+Nom
mübalağa	mübalağa+Noun+A3sg+Pnon+Nom
çılgın	çılgın+Noun+A3sg+Pnon+Nom
canlı	canlı+Noun+A3sg+Pnon+Nom
soluk	soluk+Noun+A3sg+Pnon+Nom
kez	kez+Noun+A3sg+Pnon+Nom
takdir	takdir+Noun+A3sg+Pnon+Nom
devam	devam+Noun+A3sg+Pnon+Nom
kontrol	kontrol+Noun+A3sg+Pnon+Nom
hayal	hayal+Noun+A3sg+Pnon+Nom
ziyan	ziyan+Noun+A3sg+Pnon+Nom
teselli	teselli+Noun+A3sg+Pnon+Nom
kişi	kişi+Noun+A3sg+Pnon+Nom
akşam	akşam+Noun+A3sg+Pnon+Nom
sanatçı	sanatçı+Noun+A3sg+Pnon+Nom
sıra	sıra+Noun+A3sg+Pnon+Nom
hariç	hariç+Noun+A3sg+Pnon+Nom
fark	fark+Noun+A3sg+Pnon+Nom
ifsat	ifsat+Noun+A3sg+Pnon+Nom
vermut	vermut+Noun+A3sg+Pnon+Nom
portakal	portakal+Noun+A3sg+Pnon+Nom
çeşit	çeşit+Noun+A3sg+Pnon+Nom
portre	portre+Noun+A3sg+Pnon+Nom
aşk	aşk+Noun+A3sg+Pnon+Nom
tutum	tutum+Noun+A3sg+Pnon+Nom
şahsiyet	şahsiyet+Noun+A3sg+Pnon+Nom
tercih	tercih+Noun+A3sg+Pnon+Nom
teklif	teklif+Noun+A3sg+Pnon+Nom
varoluş	varoluş+Noun+A3sg+Pnon+Nom
fayda	fayda+Noun+A3sg+Pnon+Nom
teşvik	teşvik+Noun+A3sg+Pnon+Nom
saten	saten+Noun+A3sg+Pnon+Nom
ümit	ümit+Noun+A3sg+Pnon+Nom
haberdar	haberdar+Noun+A3sg+Pnon+Nom
yelek	yelek+Noun+A3sg+Pnon+Nom
pantolon	pantolon+Noun+A3sg+Pnon+Nom
şahin	şahin+Noun+A3sg+Pnon+Nom
tarif	tarif+Noun+A3sg+Pnon+Nom
nilüfer	nilüfer+Noun+A3sg+Pnon+Nom
sır	sır+Noun+A3sg+Pnon+Nom
pratik	pratik+Noun+A3sg+Pnon+Nom
merak	merak+Noun+A3sg+Pnon+Nom
iflah	iflah+Noun+A3sg+Pnon+Nom
hayvan	hayvan+Noun+A3sg+Pnon+Nom
yazık	yazık+Noun+A3sg+Pnon+Nom
kaide	kaide+Noun+A3sg+Pnon+Nom
yemin	yemin+Noun+A3sg+Pnon+Nom
dalga	dalga+Noun+A3sg+Pnon+Nom
dehşet	dehşet+Noun+A3sg+Pnon+Nom
parça	parça+Noun+A3sg+Pnon+Nom
salata	salata+Noun+A3sg+Pnon+Nom
kuram	kuram+Noun+A3sg+Pnon+Nom
iddia	iddia+Noun+A3sg+Pnon+Nom
pembe	pembe+Noun+A3sg+Pnon+Nom
uyum	uyum+Noun+A3sg+Pnon+Nom
kabul	kabul+Noun+A3sg+Pnon+Nom
gelenekçi	gelenekçi+Noun+A3sg+Pnon+Nom
farz	farz+Noun+A3sg+Pnon+Nom
bedel	bedel+Noun+A3sg+Pnon+Nom
ressam	ressam+Noun+A3sg+Pnon+Nom
satın	satın+Noun+A3sg+Pnon+Nom
velev	velev+Noun+A3sg+Pnon+Nom
ıstırap	ıstırap+Noun+A3sg+Pnon+Nom
ortaçağ	ortaçağ+Noun+A3sg+Pnon+Nom
barbar	barbar+Noun+A3sg+Pnon+Nom
göğüs	göğüs+Noun+A3sg+Pnon+Nom
azar	azar+Noun+A3sg+Pnon+Nom
mani	mani+Noun+A3sg+Pnon+Nom
kahve	kahve+Noun+A3sg+Pnon+Nom
sigara	sigara+Noun+A3sg+Pnon+Nom
tane	tane+Noun+A3sg+Pnon+Nom
puro	puro+Noun+A3sg+Pnon+Nom
tasvip	tasvip+Noun+A3sg+Pnon+Nom
keyif	keyif+Noun+A3sg+Pnon+Nom
cüret	cüret+Noun+A3sg+Pnon+Nom
temsil	temsil+Noun+A3sg+Pnon+Nom
ejderha	ejderha+Noun+A3sg+Pnon+Nom
kupa	kupa+Noun+A3sg+Pnon+Nom
kişilik	kişilik+Noun+A3sg+Pnon+Nom
takip	takip+Noun+A3sg+Pnon+Nom
kasvet	kasvet+Noun+A3sg+Pnon+Nom
kalabalık	kalabalık+Noun+A3sg+Pnon+Nom
cadde	cadde+Noun+A3sg+Pnon+Nom
şiir	şiir+Noun+A3sg+Pnon+Nom
onur	onur+Noun+A3sg+Pnon+Nom
hararet	hararet+Noun+A3sg+Pnon+Nom
taç	taç+Noun+A3sg+Pnon+Nom
yıldız	yıldız+Noun+A3sg+Pnon+Nom
şişe	şişe+Noun+A3sg+Pnon+Nom
tanrıça	tanrıça+Noun+A3sg+Pnon+Nom
keman	keman+Noun+A3sg+Pnon+Nom
opera	opera+Noun+A3sg+Pnon+Nom
ruh	ruh+Noun+A3sg+Pnon+Nom
gözyaşı	gözyaşı+Noun+A3sg+P3sg+Nom
orkestra	orkestra+Noun+A3sg+Pnon+Nom
alkış	alkış+Noun+A3sg+Pnon+Nom
yavru	yavru+Noun+A3sg+Pnon+Nom
adım	adım+Noun+A3sg+Pnon+Nom
içeri	içeri+Noun+A3sg+Pnon+Nom
dans	dans+Noun+A3sg+Pnon+Nom
sevinç	sevinç+Noun+A3sg+Pnon+Nom
sözcük	sözcük+Noun+A3sg+Pnon+Nom
hacı	hacı+Noun+A3sg+Pnon+Nom
diyalog	diyalog+Noun+A3sg+Pnon+Nom
iniş	iniş+Noun+A3sg+Pnon+Nom
cesaret	cesaret+Noun+A3sg+Pnon+Nom
balkon	balkon+Noun+A3sg+Pnon+Nom
inkar	inkar+Noun+A3sg+Pnon+Nom
okul	okul+Noun+A3sg+Pnon+Nom
hitabet	hitabet+Noun+A3sg+Pnon+Nom
anii	anii+Noun+A3sg+Pnon+Nom
galeri	galeri+Noun+A3sg+Pnon+Nom
uğultu	uğultu+Noun+A3sg+Pnon+Nom
müdür	müdür+Noun+A3sg+Pnon+Nom
ıslık	ıslık+Noun+A3sg+Pnon+Nom
rol	rol+Noun+A3sg+Pnon+Nom
özür	özür+Noun+A3sg+Pnon+Nom
hasta	hasta+Noun+A3sg+Pnon+Nom
sakat	sakat+Noun+A3sg+Pnon+Nom
plan	plan+Noun+A3sg+Pnon+Nom
yalan	yalan+Noun+A3sg+Pnon+Nom
dağ	dağ+Noun+A3sg+Pnon+Nom
taslak	taslak+Noun+A3sg+Pnon+Nom
sürü	sürü+Noun+A3sg+Pnon+Nom
ihtiyaç	ihtiyaç+Noun+A3sg+Pnon+Nom
dükkan	dükkan+Noun+A3sg+Pnon+Nom
tuhaf	tuhaf+Noun+A3sg+Pnon+Nom
nüfuz	nüfuz+Noun+A3sg+Pnon+Nom
mucize	mucize+Noun+A3sg+Pnon+Nom
muhafaza	muhafaza+Noun+A3sg+Pnon+Nom
psikolog	psikolog+Noun+A3sg+Pnon+Nom
sıkıntı	sıkıntı+Noun+A3sg+Pnon+Nom
milyoner	milyoner+Noun+A3sg+Pnon+Nom
dul	dul+Noun+A3sg+Pnon+Nom
vali	vali+Noun+A3sg+Pnon+Nom
tahammül	tahammül+Noun+A3sg+Pnon+Nom
hiddet	hiddet+Noun+A3sg+Pnon+Nom
bar	bar+Noun+A3sg+Pnon+Nom
tahmin	tahmin+Noun+A3sg+Pnon+Nom
geleni	geleni+Noun+A3sg+Pnon+Nom
yüzde	yüzde+Noun+A3sg+Pnon+Nom
kilit	kilit+Noun+A3sg+Pnon+Nom
bugün	bugün+Noun+A3sg+Pnon+Nom
ihmal	ihmal+Noun+A3sg+Pnon+Nom
takım	takım+Noun+A3sg+Pnon+Nom
cenaze	cenaze+Noun+A3sg+Pnon+Nom
lanet	lanet+Noun+A3sg+Pnon+Nom
