göre	gör+Verb+Pos+Opt+A3sg
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
ise	i+Verb+Pos+Cond+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
yaptı	yap+Verb+Pos+Past+A3sg
bulundu	bulun+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
verdi	ver+Verb+Pos+Past+A3sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
gördüm	gör+Verb+Pos+Past+A1sg
vermezsin	ver+Verb+Neg+Aor+A2sg
sanırım	san+Verb+Pos+Aor+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
yapmış	yap+Verb+Pos+Narr+A3sg
olur	ol+Verb+Pos+Aor+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
eskimiş	eski+Verb+Pos+Narr+A3sg
indiler	in+Verb+Pos+Past+A3pl
okşadı	okşa+Verb+Pos+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
gitti	git+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
gördü	gör+Verb+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
söyle	söyle+Verb+Pos+Imp+A2sg
