rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
gözlendi	gözle+Verb^DB+Verb+Pass+Pos+Past+A3sg
düzeltti	düzel+Verb^DB+Verb+Caus+Pos+Past+A3sg
çıkardı	çık+Verb^DB+Verb+Caus+Pos+Past+A3sg
göre	gör+Verb+Pos+Opt+A3sg
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
ise	i+Verb+Pos+Cond+A3sg
ödendi	öde+Verb^DB+Verb+Pass+Pos+Past+A3sg
gerçekleşti	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Past+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
olmuştu	ol+Verb+Pos+Narr+Past+A3sg
ediliyor	et+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
belirtiliyor	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
bildirdiler	bil+Verb^DB+Verb+Caus+Pos+Past+A3pl
bildirdi	bil+Verb^DB+Verb+Caus+Pos+Past+A3sg
yaptı	yap+Verb+Pos+Past+A3sg
bulundu	bulun+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
çekildi	çek+Verb^DB+Verb+Pass+Pos+Past+A3sg
istendi	iste+Verb^DB+Verb+Pass+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
edildi	et+Verb^DB+Verb+Pass+Pos+Past+A3sg
yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
yaşındayım	yaş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
verdi	ver+Verb+Pos+Past+A3sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
edemez	et+Verb^DB+Verb+Able+Neg+Aor+A3sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
olsaydım	ol+Verb+Pos+Desr+Past+A1sg
atsam	at+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A1sg
imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
olsaydı	ol+Verb+Pos+Desr+Past+A3sg
yapardım	yap+Verb+Pos+Aor+Past+A1sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
gördüm	gör+Verb+Pos+Past+A1sg
vermezsin	ver+Verb+Neg+Aor+A2sg
sanırım	san+Verb+Pos+Aor+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
yapmış	yap+Verb+Pos+Narr+A3sg
olur	ol+Verb+Pos+Aor+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
eskimiş	eski+Verb+Pos+Narr+A3sg
indiler	in+Verb+Pos+Past+A3pl
geçmişti	geç+Verb+Pos+Narr+Past+A3sg
gerekiyordu	gerek+Verb+Pos+Prog1+Past+A3sg
istiyordu	iste+Verb+Pos+Prog1+Past+A3sg
yaratacaktı	yara+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayrıldılar	ayır+Verb^DB+Verb+Pass+Pos+Past+A3pl
vardı	var+Adj^DB+Verb+Zero+Past+A3sg
dolanmış	dola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
okşadı	okşa+Verb+Pos+Past+A3sg
bekliyordu	bekle+Verb+Pos+Prog1+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
