rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
gözlendi	gözle+Verb^DB+Verb+Pass+Pos+Past+A3sg
düzeltti	düzel+Verb^DB+Verb+Caus+Pos+Past+A3sg
çıkardı	çık+Verb^DB+Verb+Caus+Pos+Past+A3sg
göre	gör+Verb+Pos+Opt+A3sg
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
ise	i+Verb+Pos+Cond+A3sg
ödendi	öde+Verb^DB+Verb+Pass+Pos+Past+A3sg
gerçekleşti	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Past+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
olmuştu	ol+Verb+Pos+Narr+Past+A3sg
ediliyor	et+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
belirtiliyor	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
bildirdiler	bil+Verb^DB+Verb+Caus+Pos+Past+A3pl
yaptı	yap+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
çekildi	çek+Verb^DB+Verb+Pass+Pos+Past+A3sg
istendi	iste+Verb^DB+Verb+Pass+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
yaşındayım	yaş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
atsam	at+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A1sg
imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
sanırım	san+Verb+Pos+Aor+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
eskimiş	eski+Verb+Pos+Narr+A3sg
geçmişti	geç+Verb+Pos+Narr+Past+A3sg
gerekiyordu	gerek+Verb+Pos+Prog1+Past+A3sg
yaratacaktı	yara+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayrıldılar	ayır+Verb^DB+Verb+Pass+Pos+Past+A3pl
vardı	var+Adj^DB+Verb+Zero+Past+A3sg
dolanmış	dola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
okşadı	okşa+Verb+Pos+Past+A3sg
bekliyordu	bekle+Verb+Pos+Prog1+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
dolaşıyorlardı	dolaş+Verb+Pos+Prog1+A3pl+Past
işitiyordu	işit+Verb+Pos+Prog1+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
düşünüyordu	düşün+Verb+Pos+Prog1+Past+A3sg
gibiyse	gibi+Postp+PCNom^DB+Verb+Zero+Cond+A3sg
izliyordu	izle+Verb+Pos+Prog1+Past+A3sg
dökülüyordu	dök+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
durmaktaydı	dur+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
ıslanmıştı	ısla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
döndürdü	dön+Verb^DB+Verb+Caus+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
dolandırıyordu	dolan+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
