
number of params: 3072 

epoch: 0 avg_loss: 1.7539, acc: 0.2455 
val --- avg_loss: 1.6418, acc: 0.5120  

epoch: 1 avg_loss: 1.6496, acc: 0.2988 
val --- avg_loss: 1.4423, acc: 0.8469  

epoch: 2 avg_loss: 1.5727, acc: 0.2742 
val --- avg_loss: 1.3352, acc: 0.8804  

epoch: 3 avg_loss: 1.5264, acc: 0.2627 
val --- avg_loss: 1.2405, acc: 0.8900  

epoch: 4 avg_loss: 1.4930, acc: 0.2575 
val --- avg_loss: 1.1935, acc: 0.8804  

epoch: 5 avg_loss: 1.4671, acc: 0.2515 
val --- avg_loss: 1.1034, acc: 0.9234  

epoch: 6 avg_loss: 1.4488, acc: 0.2484 
val --- avg_loss: 1.0888, acc: 0.8900  

epoch: 7 avg_loss: 1.4263, acc: 0.2581 
val --- avg_loss: 1.0391, acc: 0.9234  

epoch: 8 avg_loss: 1.4141, acc: 0.2581 
val --- avg_loss: 1.0192, acc: 0.9043  

epoch: 9 avg_loss: 1.4062, acc: 0.2498 
val --- avg_loss: 0.9623, acc: 0.9139  

epoch: 10 avg_loss: 1.3916, acc: 0.2527 
val --- avg_loss: 0.9649, acc: 0.8995  

epoch: 11 avg_loss: 1.3838, acc: 0.2541 
val --- avg_loss: 0.9483, acc: 0.8995  

epoch: 12 avg_loss: 1.3761, acc: 0.2615 
val --- avg_loss: 0.9772, acc: 0.8708  

epoch: 13 avg_loss: 1.3667, acc: 0.2667 
val --- avg_loss: 0.9542, acc: 0.8804  

epoch: 14 avg_loss: 1.3612, acc: 0.2633 
val --- avg_loss: 0.9159, acc: 0.8852  

epoch: 15 avg_loss: 1.3512, acc: 0.2693 
val --- avg_loss: 0.9358, acc: 0.8708  

epoch: 16 avg_loss: 1.3456, acc: 0.2719 
val --- avg_loss: 0.9429, acc: 0.8660  

epoch: 17 avg_loss: 1.3389, acc: 0.2733 
val --- avg_loss: 0.9203, acc: 0.8660  

epoch: 18 avg_loss: 1.3318, acc: 0.2744 
val --- avg_loss: 0.9202, acc: 0.8708  

epoch: 19 avg_loss: 1.3278, acc: 0.2776 
val --- avg_loss: 0.9451, acc: 0.8517  

epoch: 20 avg_loss: 1.3225, acc: 0.2813 
val --- avg_loss: 0.9350, acc: 0.8517  

epoch: 21 avg_loss: 1.3176, acc: 0.2842 
val --- avg_loss: 0.9132, acc: 0.8612  

epoch: 22 avg_loss: 1.3126, acc: 0.2793 
val --- avg_loss: 0.9214, acc: 0.8565  

epoch: 23 avg_loss: 1.3068, acc: 0.2859 
val --- avg_loss: 0.9258, acc: 0.8469  

epoch: 24 avg_loss: 1.3066, acc: 0.2790 
val --- avg_loss: 0.8956, acc: 0.8565  

epoch: 25 avg_loss: 1.2984, acc: 0.2785 
val --- avg_loss: 0.8943, acc: 0.8565  

epoch: 26 avg_loss: 1.2942, acc: 0.2928 
val --- avg_loss: 0.9245, acc: 0.8373  

epoch: 27 avg_loss: 1.2899, acc: 0.3014 
val --- avg_loss: 0.9365, acc: 0.8086  

epoch: 28 avg_loss: 1.2859, acc: 0.3100 
val --- avg_loss: 0.9295, acc: 0.8134  

epoch: 29 avg_loss: 1.2817, acc: 0.3026 
val --- avg_loss: 0.9019, acc: 0.8421  

epoch: 30 avg_loss: 1.2793, acc: 0.2968 
