
number of params: 3072 

epoch: 0 avg_loss: 1.7828, acc: 0.3358 
val --- avg_loss: 1.7590, acc: 0.9952  

epoch: 1 avg_loss: 1.7622, acc: 0.4981 
val --- avg_loss: 1.7354, acc: 1.0000  

epoch: 2 avg_loss: 1.7428, acc: 0.5277 
val --- avg_loss: 1.7084, acc: 1.0000  

epoch: 3 avg_loss: 1.7230, acc: 0.5466 
val --- avg_loss: 1.6837, acc: 1.0000  

epoch: 4 avg_loss: 1.7041, acc: 0.5578 
val --- avg_loss: 1.6593, acc: 1.0000  

epoch: 5 avg_loss: 1.6861, acc: 0.5541 
val --- avg_loss: 1.6336, acc: 1.0000  

epoch: 6 avg_loss: 1.6670, acc: 0.5641 
val --- avg_loss: 1.6110, acc: 1.0000  

epoch: 7 avg_loss: 1.6491, acc: 0.5753 
val --- avg_loss: 1.5889, acc: 1.0000  

epoch: 8 avg_loss: 1.6317, acc: 0.5790 
val --- avg_loss: 1.5674, acc: 1.0000  

epoch: 9 avg_loss: 1.6143, acc: 0.5839 
val --- avg_loss: 1.5456, acc: 1.0000  

epoch: 10 avg_loss: 1.5968, acc: 0.5827 
val --- avg_loss: 1.5207, acc: 1.0000  

epoch: 11 avg_loss: 1.5799, acc: 0.5833 
val --- avg_loss: 1.4986, acc: 1.0000  

epoch: 12 avg_loss: 1.5634, acc: 0.5876 
val --- avg_loss: 1.4785, acc: 1.0000  

epoch: 13 avg_loss: 1.5467, acc: 0.5885 
val --- avg_loss: 1.4562, acc: 1.0000  

epoch: 14 avg_loss: 1.5309, acc: 0.5888 
val --- avg_loss: 1.4338, acc: 1.0000  

epoch: 15 avg_loss: 1.5151, acc: 0.5879 
val --- avg_loss: 1.4129, acc: 1.0000  

epoch: 16 avg_loss: 1.4991, acc: 0.5890 
val --- avg_loss: 1.3942, acc: 1.0000  

epoch: 17 avg_loss: 1.4843, acc: 0.5919 
val --- avg_loss: 1.3739, acc: 1.0000  

epoch: 18 avg_loss: 1.4690, acc: 0.5925 
val --- avg_loss: 1.3534, acc: 1.0000  

epoch: 19 avg_loss: 1.4542, acc: 0.5954 
val --- avg_loss: 1.3346, acc: 1.0000  

epoch: 20 avg_loss: 1.4403, acc: 0.5979 
val --- avg_loss: 1.3161, acc: 1.0000  

epoch: 21 avg_loss: 1.4250, acc: 0.5985 
val --- avg_loss: 1.2983, acc: 1.0000  

epoch: 22 avg_loss: 1.4113, acc: 0.5994 
val --- avg_loss: 1.2787, acc: 1.0000  

epoch: 23 avg_loss: 1.3972, acc: 0.5991 
val --- avg_loss: 1.2611, acc: 1.0000  

epoch: 24 avg_loss: 1.3838, acc: 0.6014 
val --- avg_loss: 1.2434, acc: 1.0000  

epoch: 25 avg_loss: 1.3703, acc: 0.6022 
val --- avg_loss: 1.2254, acc: 1.0000  

epoch: 26 avg_loss: 1.3573, acc: 0.6022 
val --- avg_loss: 1.2073, acc: 1.0000  

epoch: 27 avg_loss: 1.3446, acc: 0.6048 
val --- avg_loss: 1.1908, acc: 1.0000  

epoch: 28 avg_loss: 1.3316, acc: 0.6051 
val --- avg_loss: 1.1739, acc: 1.0000  

