hafta	hafta+Noun+A3sg+Pnon+Nom
kısa	kısa+Adj
vadeli	vade+Noun+A3sg+Pnon+Nom^DB+Adj+With
avans	avans+Noun+A3sg+Pnon+Nom
hesabına	hesap+Noun+A3sg+P3sg+Dat
trilyon	trilyon+Num+Card
liralık	lira+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
geri	geri+Adverb
ödeme	ödeme+Noun+A3sg+Pnon+Nom
trilyona	trilyon+Num+Card^DB+Noun+Zero+A3sg+Pnon+Dat
çıkarken	çıkar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
döviz	döviz+Noun+A3sg+Pnon+Nom
rezervlerinde	rezerv+Noun+A3pl+P3sg+Loc
milyon	milyon+Num+Card
dolarlık	dolar+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
bu	bu+Pron+Demons+A3sg+Pnon+Nom
yana	yan+Noun+A3sg+Pnon+Dat
kaynaklarına	kaynak+Noun+A3pl+P3sg+Dat
durumunu	durum+Noun+A3sg+P3sg+Acc
tutarını	tutar+Noun+A3sg+P3sg+Acc
da	da+Conj
tarihli	tarih+Noun+A3sg+Pnon+Nom^DB+Adj+With
bilançosuna	bilanço+Noun+A3sg+P3sg+Dat
lira	lira+Noun+A3sg+Pnon+Nom
bir	bir+Det
haftada	hafta+Noun+A3sg+Pnon+Loc
trilyonluk	trilyon+Num+Card^DB+Noun+Ness+A3sg+Pnon+Nom
liraya	lira+Noun+A3sg+Pnon+Dat
ödemesiyle	ödeme+Noun+A3sg+P3sg+Ins
iç	iç+Adj
varlıkları	varlık+Noun+A3pl+P3sg+Nom
önemli	önem+Noun+A3sg+Pnon+Nom^DB+Adj+With
ölçüde	ölçü+Noun+A3sg+Pnon+Loc
varlıklar	varlık+Noun+A3pl+Pnon+Nom
toplamı	toplam+Noun+A3sg+Pnon+Acc
kredilerin	kredi+Noun+A3pl+Pnon+Gen
yanında	yan+Noun+A3sg+P3sg+Loc
yoluyla	yol+Noun+A3sg+P3sg+Ins
piyasadan	piyasa+Noun+A3sg+Pnon+Abl
likiditenin	likidite+Noun+A3sg+Pnon+Gen
etkisiyle	etki+Noun+A3sg+P3sg+Ins
varlıkların	varlık+Noun+A3pl+Pnon+Gen
ile	ile+Conj
birlikte	birlikte+Adverb
rezerv	rezerv+Noun+A3sg+Pnon+Nom
