rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
yapan	yap+Verb+Pos^DB+Adj+PresPart
kullanabileceği	kullan+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+P3sg
erime	eri+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
gözlendi	gözle+Verb^DB+Verb+Pass+Pos+Past+A3sg
yüklenen	yükle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
geçen	geç+Verb+Pos^DB+Adj+PresPart
düzeltti	düzel+Verb^DB+Verb+Caus+Pos+Past+A3sg
kapatan	kapa+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
çıkardı	çık+Verb^DB+Verb+Caus+Pos+Past+A3sg
göre	gör+Verb+Pos+Opt+A3sg
olan	ol+Verb+Pos^DB+Adj+PresPart
azalışla	azal+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
açılan	aç+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
gerilemesi	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
çekilen	çek+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
azalışı	azal+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
gerileme	gerile+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
artışla	art+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
çıktı	çık+Verb+Pos+Past+A3sg
ise	i+Verb+Pos+Cond+A3sg
rahatlarken	rahatla+Verb+Pos+Aor^DB+Adverb+While
azalarak	azal+Verb+Pos^DB+Adverb+ByDoingSo
ödendi	öde+Verb^DB+Verb+Pass+Pos+Past+A3sg
ödemeleri	öde+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Acc
olarak	ol+Verb+Pos^DB+Adverb+ByDoingSo
gerçekleşti	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Past+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
gerçekleştirilen	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
olmuştu	ol+Verb+Pos+Narr+Past+A3sg
akmasını	ak+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
sağlayan	sağla+Verb+Pos^DB+Adj+PresPart
uygulanması	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
beklenenin	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
artmasına	art+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
olurken	ol+Verb+Pos+Aor^DB+Adverb+While
satış	sat+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
belirlendiği	belirle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
imzaladığı	imzala+Verb+Pos^DB+Adj+PastPart+P3sg
ediliyor	et+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
veren	ver+Verb+Pos^DB+Adj+PresPart
satmasına	sat+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
veriyor	ver+Verb+Pos+Prog1+A3sg
tanınan	tanı+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
dolduracak	dol+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
imzalayan	imzala+Verb+Pos^DB+Adj+PresPart
çıkacak	çık+Verb+Pos^DB+Adj+FutPart+Pnon
karşılaşacağı	karşılaş+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
arttırılmasını	art+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
isteyeceği	iste+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
belirtiliyor	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
olmak	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
doluncaya	dol+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
almayacaklarını	al+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
bildirdiler	bil+Verb^DB+Verb+Caus+Pos+Past+A3pl
bulunduğu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
tanıdığı	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
kalabilmek	kal+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
azalttığını	azal+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
bildirdi	bil+Verb^DB+Verb+Caus+Pos+Past+A3sg
açıklama	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
beklenenden	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Abl
akacağı	ak+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
verince	ver+Verb+Pos^DB+Adverb+When
yükseltici	yüksel+Verb^DB+Verb+Caus+Pos^DB+Adj+Agt
yaptı	yap+Verb+Pos+Past+A3sg
arttığı	art+Verb+Pos^DB+Adj+PastPart+P3sg
aşmamak	aş+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
satmak	sat+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kalacak	kal+Verb+Pos^DB+Adj+FutPart+Pnon
ettiği	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
suçlamalarda	suçla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
bulundu	bulun+Verb+Pos+Past+A3sg
verdiği	ver+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
yaptığı	yap+Verb+Pos^DB+Adj+PastPart+P3sg
açıklamalarda	açıkla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
bulunduğunu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
etti	et+Verb+Pos+Past+A3sg
bulunmadığını	bulun+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
olmasından	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
olduğunu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
söyledi	söyle+Verb+Pos+Past+A3sg
açtığı	aç+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
yapılacak	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
getirme	getir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
başlayan	başla+Verb+Pos^DB+Adj+PresPart
büyürken	büyü+Verb+Pos+Aor^DB+Adverb+While
hazırlanan	hazırla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
verilmediğini	ver+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
uyguladıkları	uygula+Verb+Pos^DB+Noun+PastPart+A3pl+P3pl+Nom
seçti	seç+Verb+Pos+Past+A3sg
oluşturduğu	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
araştırmalar	araştır+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
ulaştırdığı	ulaş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
savunduğu	savun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
olmadığını	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
koydu	koy+Verb+Pos+Past+A3sg
uygulandığı	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
