rahatladığınız	rahatla+Verb+Pos^DB+Adj+PastPart+P2pl
gözlemeye	gözle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
düzeltmeliyiz	düzel+Verb^DB+Verb+Caus+Pos+Neces+A1pl
çıkmadıkları	çık+Verb+Neg^DB+Adj+PastPart+P3pl
görebildiğimiz	gör+Verb+Pos^DB+Verb+Able^DB+Adj+PastPart+P1pl
indiğim	in+Verb+Pos^DB+Adj+PastPart+P1sg
gerileyeceği	gerile+Verb+Pos^DB+Adj+FutPart+P3sg
düştüğümüz	düş+Verb+Pos^DB+Adj+PastPart+P1pl
imiş	i+Verb+Pos+Narr+A3sg
ödediğim	öde+Verb+Pos^DB+Adj+PastPart+P1sg
bulunduran	bulun+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
olamadıkları	ol+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3pl
etmediğiniz	et+Verb+Neg^DB+Adj+PastPart+P2pl
verdiğimiz	ver+Verb+Pos^DB+Adj+PastPart+P1pl
belirtildiği	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
bildigi	bil+Verb+Pos^DB+Adj+PastPart+P3sg
yaptıramadığı	yap+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
söyleyemediği	söyle+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
seçtiği	seç+Verb+Pos^DB+Adj+PastPart+P3sg
koyabildiğiniz	koy+Verb+Pos^DB+Verb+Able^DB+Adj+PastPart+P2pl
çektirdiğim	çek+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
istenildiği	iste+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
gelindiği	gel+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
yumuşamıştım	yumuşa+Verb+Pos+Narr+Past+A1sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
gittiğimiz	git+Verb+Pos^DB+Adj+PastPart+P1pl
attıkları	at+Verb+Pos^DB+Adj+PastPart+P3pl
imzalandığı	imzala+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
benzeyecek	benze+Verb+Pos^DB+Adj+FutPart+Pnon
tartışıldığı	tartış+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
sanılan	san+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sevdikleri	sev+Verb+Pos^DB+Adj+PastPart+P3pl
bağıran	bağır+Verb+Pos^DB+Adj+PresPart
çekinen	çekin+Verb+Pos^DB+Adj+PresPart
binen	bin+Verb+Pos^DB+Adj+PresPart
geçebilecek	geç+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+Pnon
gerektirecek	gerek+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
yarattığım	yara+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayırmadığım	ayır+Verb+Neg^DB+Adj+PastPart+P1sg
varan	var+Verb+Pos^DB+Adj+PresPart
dolanan	dola+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
okşanan	okşa+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
beklediğimiz	bekle+Verb+Pos^DB+Adj+PastPart+P1pl
oturulacak	otur+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
dolaştırdığım	dolaş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
işittiği	işit+Verb+Pos^DB+Adj+PastPart+P3sg
ittiği	it+Verb+Pos^DB+Adj+PastPart+P3sg
aldıran	al+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
düşünmediği	düşün+Verb+Neg^DB+Adj+PastPart+P3sg
izleyeceği	izle+Verb+Pos^DB+Adj+FutPart+P3sg
dökülürkenki	dök+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While^DB+Adj+Rel
durduran	dur+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
baktıkları	bak+Verb+Pos^DB+Adj+PastPart+P3pl
ıslanan	ısla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
döndürülen	dön+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
dediğiniz	de+Verb+Pos^DB+Adj+PastPart+P2pl
dolandırılmış	dolan+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
soluya	solu+Verb+Pos+Opt+A3sg
çatıyordu	çat+Verb+Pos+Prog1+Past+A3sg
duymayan	duy+Verb+Neg^DB+Adj+PresPart
hatırlattığımız	hatırla+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1pl
acıyan	acı+Verb+Pos^DB+Adj+PresPart
adayan	ada+Verb+Pos^DB+Adj+PresPart
sallamakla	salla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
yaşadığımız	yaşa+Verb+Pos^DB+Adj+PastPart+P1pl
haykırmak	haykır+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dolduran	dol+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
silinen	sil+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
fısıldanan	fısılda+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
öpüşür	öp+Verb^DB+Verb+Recip+Pos^DB+Adj+AorPart
kalıveren	kal+Verb+Pos^DB+Verb+Hastily^DB+Adj+PresPart
bulunabilen	bul+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+PresPart
öldürüldüğü	öl+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
göstereceğimiz	göster+Verb+Pos^DB+Adj+FutPart+P1pl
kestiremeyen	kes+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PresPart
koşuldukları	koş+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3pl
kaybolan	kaybol+Verb+Pos^DB+Adj+PresPart
yıprandı	yıpran+Verb+Pos+Past+A3sg
açıkladığı	açıkla+Verb+Pos^DB+Adj+PastPart+P3sg
hissettiren	hisset+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
hazırladığımız	hazırla+Verb+Pos^DB+Adj+PastPart+P1pl
eğmeleri	eğ+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
değiliz	değil+Verb+Neg+Pres+A1pl
ilgilenen	ilgilen+Verb+Pos^DB+Adj+PresPart
nişanlandığından	nişanla+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
silkindi	silkin+Verb+Pos+Past+A3sg
inanmadığım	inan+Verb+Neg^DB+Adj+PastPart+P1sg
kaybeden	kaybet+Verb+Pos^DB+Adj+PresPart
sakladığı	sakla+Verb+Pos^DB+Adj+PastPart+P3sg
evlendiği	evlen+Verb+Pos^DB+Adj+PastPart+P3sg
geliştiren	geliş+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
unutturan	unut+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
üzen	üz+Verb+Pos^DB+Adj+PresPart
onaylatmadığı	onayla+Verb^DB+Verb+Caus+Neg^DB+Adj+PastPart+P3sg
sorduğumuz	sor+Verb+Pos^DB+Adj+PastPart+P1pl
karışan	karış+Verb+Pos^DB+Adj+PresPart
büyüleyen	büyüle+Verb+Pos^DB+Adj+PresPart
vurduğum	vur+Verb+Pos^DB+Adj+PastPart+P1sg
kılan	kıl+Verb+Pos^DB+Adj+PresPart
yitirdiği	yit+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
getirdikleri	getir+Verb+Pos^DB+Adj+PastPart+P3pl
ekledikleri	ekle+Verb+Pos^DB+Adj+PastPart+P3pl
kastettiği	kastet+Verb+Pos^DB+Adj+PastPart+P3sg
gülen	gül+Verb+Pos^DB+Adj+PresPart
korkan	kork+Verb+Pos^DB+Adj+PresPart
zanneden	zannet+Verb+Pos^DB+Adj+PresPart
sağlanamadığı	sağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
övmenize	öv+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Dat
buluyor	bula+Verb+Pos+Prog1+A3sg
çürümeye	çürü+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
taşıdığı	taşı+Verb+Pos^DB+Adj+PastPart+P3sg
kutluyordu	kutla+Verb+Pos+Prog1+Past+A3sg
görünüşlü	görün+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With
affettireceğini	affet+Verb^DB+Verb+Caus+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
anlamayan	anla+Verb+Neg^DB+Adj+PresPart
giyindiğim	giy+Verb^DB+Verb+Reflex+Pos^DB+Adj+PastPart+P1sg
yemekli	ye+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Adj+With
oynamayan	oyna+Verb+Neg^DB+Adj+PresPart
süslemek	süsle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
taşan	taş+Verb+Pos^DB+Adj+PresPart
topladığı	topla+Verb+Pos^DB+Adj+PastPart+P3sg
doğuran	doğ+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
ilerleyen	ilerle+Verb+Pos^DB+Adj+PresPart
konuşabilen	konuş+Verb+Pos^DB+Verb+Able^DB+Adj+PresPart
peydahlandı	peydahla+Verb^DB+Verb+Pass+Pos+Past+A3sg
yaklaştığı	yaklaş+Verb+Pos^DB+Adj+PastPart+P3sg
titreyen	titre+Verb+Pos^DB+Adj+PresPart
ürperten	ürper+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
