geri	geri+Adverb
çıkarken	çıkar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
birlikte	birlikte+Adverb
rahatlarken	rahatla+Verb+Pos+Aor^DB+Adverb+While
azalarak	azal+Verb+Pos^DB+Adverb+ByDoingSo
ilk	ilk+Adverb
olarak	ol+Verb+Pos^DB+Adverb+ByDoingSo
aksine	aksine+Adverb
olurken	ol+Verb+Pos+Aor^DB+Adverb+While
başta	başta+Adverb
bile	bile+Adverb
pek	pek+Adverb
daha	daha+Adverb
verince	ver+Verb+Pos^DB+Adverb+When
büyürken	büyü+Verb+Pos+Aor^DB+Adverb+While
yalnızca	yalnızca+Adverb
en	en+Adverb
fazla	fazla+Adverb
sonra	sonra+Adverb
mutlaka	mutlaka+Adverb
sığınılarak	sığın+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
öyle	öyle+Adverb
nasıl	nasıl+Adverb
şimdi	şimdi+Adverb
eskiden	eskiden+Adverb
artık	artık+Adverb
asla	asla+Adverb
evet	evet+Adverb
ebediyen	ebediyen+Adverb
gülerek	gül+Verb+Pos^DB+Adverb+ByDoingSo
sadece	sadece+Adverb
önce	önce+Adverb
yokken	yok+Adj^DB+Verb+Zero^DB+Adverb+While
biraz	biraz+Adverb
sanki	sanki+Adverb
dururken	dur+Verb+Pos+Aor^DB+Adverb+While
oynarken	oyna+Verb+Pos+Aor^DB+Adverb+While
öpüp	öp+Verb+Pos^DB+Adverb+AfterDoingSo
inerken	in+Verb+Pos+Aor^DB+Adverb+While
hiç	hiç+Adverb
vermeden	ver+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
uçuşup	uçuş+Verb+Pos^DB+Adverb+AfterDoingSo
durmaksızın	dur+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
yiyip	ye+Verb+Pos^DB+Adverb+AfterDoingSo
çekiştirip	çekiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
kalkarak	kalk+Verb+Pos^DB+Adverb+ByDoingSo
dönerek	dön+Verb+Pos^DB+Adverb+ByDoingSo
sonunda	sonunda+Adverb
gelip	gel+Verb+Pos^DB+Adverb+AfterDoingSo
açık	açık+Adverb
peyderpey	peyderpey+Adverb
ederek	et+Verb+Pos^DB+Adverb+ByDoingSo
sıkarak	sık+Verb+Pos^DB+Adverb+ByDoingSo
eğilip	eğ+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
gerçekten	gerçekten+Adverb
sallarken	salla+Verb+Pos+Aor^DB+Adverb+While
yeniden	yeniden+Adverb
yalnız	yalnız+Adverb
söyleyerek	söyle+Verb+Pos^DB+Adverb+ByDoingSo
sonradan	sonradan+Adverb
hep	hep+Adverb
pekala	pekala+Adverb
konuşurken	konuş+Verb+Pos+Aor^DB+Adverb+While
bakarak	bak+Verb+Pos^DB+Adverb+ByDoingSo
diyerek	de+Verb+Pos^DB+Adverb+ByDoingSo
hala	hala+Adverb
yok	yok+Adverb
büsbütün	büsbütün+Adverb
daima	daima+Adverb
bayağı	bayağı+Adverb
yudumlayarak	yudumla+Verb+Pos^DB+Adverb+ByDoingSo
yürüyüp	yürü+Verb+Pos^DB+Adverb+AfterDoingSo
ısırarak	ısır+Verb+Pos^DB+Adverb+ByDoingSo
birdenbire	birdenbire+Adverb
aslında	aslında+Adverb
muhtemelen	muhtemelen+Adverb
gelince	gel+Verb+Pos^DB+Adverb+When
elbette	elbette+Adverb
işte	işte+Adverb
çıkarıp	çık+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
tokalaşırken	toka+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Aor^DB+Adverb+While
böyle	böyle+Adverb
geç	geç+Adverb
oturup	otur+Verb+Pos^DB+Adverb+AfterDoingSo
olup	ol+Verb+Pos^DB+Adverb+AfterDoingSo
otururlarken	otur+Verb+Pos+Aor+A3pl^DB+Adverb+While
hani	hani+Adverb
gayet	gayet+Adverb
titreyerek	titre+Verb+Pos^DB+Adverb+ByDoingSo
önceleri	önceleri+Adverb
gidip	git+Verb+Pos^DB+Adverb+AfterDoingSo
otururken	otur+Verb+Pos+Aor^DB+Adverb+While
önceden	önceden+Adverb
kapanıp	kapa+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
şimdilik	şimdilik+Adverb
tamamen	tamamen+Adverb
sunup	sun+Verb+Pos^DB+Adverb+AfterDoingSo
zaten	zaten+Adverb
mütemadiyen	mütemadiyen+Adverb
alırken	al+Verb+Pos+Aor^DB+Adverb+While
derken	de+Verb+Pos+Aor^DB+Adverb+While
yaslanıp	yasla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
tekrar	tekrar+Adverb
bizzat	bizzat+Adverb
dokunarak	dokun+Verb+Pos^DB+Adverb+ByDoingSo
böbürlenerek	böbürlen+Verb+Pos^DB+Adverb+ByDoingSo
çekerek	çek+Verb+Pos^DB+Adverb+ByDoingSo
oynayarak	oyna+Verb+Pos^DB+Adverb+ByDoingSo
evvela	evvela+Adverb
getirip	getir+Verb+Pos^DB+Adverb+AfterDoingSo
niçin	niçin+Adverb
ayrıca	ayrıca+Adverb
yakarken	yak+Verb+Pos+Aor^DB+Adverb+While
giyip	giy+Verb+Pos^DB+Adverb+AfterDoingSo
yanıp	yan+Verb+Pos^DB+Adverb+AfterDoingSo
sallayıp	salla+Verb+Pos^DB+Adverb+AfterDoingSo
konuşarak	konuş+Verb+Pos^DB+Adverb+ByDoingSo
belirterek	belir+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
seyrederek	seyret+Verb+Pos^DB+Adverb+ByDoingSo
konuşup	konuş+Verb+Pos^DB+Adverb+AfterDoingSo
sahnedeyken	sahne+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
tıpkı	tıpkı+Adverb
geçirirken	geç+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
kurtarıp	kurtar+Verb+Pos^DB+Adverb+AfterDoingSo
atarken	at+Verb+Pos+Aor^DB+Adverb+While
fırlayıp	fırla+Verb+Pos^DB+Adverb+AfterDoingSo
adeta	adeta+Adverb
baştanbaşa	baştanbaşa+Adverb
edip	et+Verb+Pos^DB+Adverb+AfterDoingSo
izlerken	izle+Verb+Pos+Aor^DB+Adverb+While
giderek	git+Verb+Pos^DB+Adverb+ByDoingSo
çabucak	çabucak+Adverb
diyemeden	de+Verb+Pos^DB+Adverb+WithoutBeingAbleToHaveDoneSo
vurarak	vur+Verb+Pos^DB+Adverb+ByDoingSo
faydalanarak	fayda+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Adverb+ByDoingSo
henüz	henüz+Adverb
düşündükçe	düşün+Verb+Pos^DB+Adverb+AsLongAs
gelmişken	gel+Verb+Pos+Narr^DB+Adverb+While
bilhassa	bilhassa+Adverb
belki	belki+Adverb
tam	tam+Adverb
yayıldıkça	yay+Verb^DB+Verb+Pass+Pos^DB+Adverb+AsLongAs
alabildiğine	alabildiğine+Adverb
bazen	bazen+Adverb
rastladıkça	rastla+Verb+Pos^DB+Adverb+AsLongAs
kısmen	kısmen+Adverb
tersine	tersine+Adverb
olmadan	ol+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
kalınca	kal+Verb+Pos^DB+Adverb+When
