trilyon	trilyon+Num+Card
milyon	milyon+Num+Card
milyar	milyar+Num+Card
altı	altı+Num+Card
on	on+Num+Card
üç	üç+Num+Card
iki	iki+Num+Card
beş	beş+Num+Card
ikinci	ikinci+Num+Ord
yirmi	yirmi+Num+Card
birinci	birinci+Num+Ord
üçüncü	üçüncü+Num+Ord
dört	dört+Num+Card
elli	elli+Num+Card
bin	bin+Num+Card
otuz	otuz+Num+Card
yedi	yedi+Num+Card
dokuz	dokuz+Num+Card
teker	tek+Num+Dist
binlerce	binlerce+Num+Card
birer	bir+Num+Dist
yetmiş	yetmiş+Num+Card
sekiz	sekiz+Num+Card
kırk	kırk+Num+Card
yüzer	yüz+Num+Dist
yüzlerce	yüzlerce+Num+Card
seksen	seksen+Num+Card
altmış	altmış+Num+Card
üçer	üç+Num+Dist
beşinci	beşinci+Num+Ord
dördüncü	dördüncü+Num+Ord
milyonlarca	milyonlarca+Num+Card
onaltı	onaltı+Num+Card
ikişer	iki+Num+Dist
onlarca	onlarca+Num+Card
milyarlarca	milyarlarca+Num+Card
yedinci	yedinci+Num+Ord
altıncı	altıncı+Num+Ord
onbir	onbir+Num+Card
trilyonlarca	trilyonlarca+Num+Card
beşer	beş+Num+Dist
onuncu	onuncu+Num+Ord
onbeş	onbeş+Num+Card
