ait	ait+Postp+PCDat
için	için+Postp+PCGen
kadar	kadar+Postp+PCDat
üzere	üzere+Postp+PCNom
az	az+Postp+PCAbl
dolayı	dolayı+Postp+PCAbl
yönelik	yönelik+Postp+PCDat
diye	diye+Postp+PCNom
gibi	gibi+Postp+PCGen
boyunca	boyunca+Postp+PCNom
rağmen	rağmen+Postp+PCDat
doğru	doğru+Postp+PCDat
beraber	beraber+Postp+PCIns
dair	dair+Postp+PCDat
öte	öte+Postp+PCAbl
başka	başka+Postp+PCAbl
dek	dek+Postp+PCDat
beri	beri+Postp+PCAbl
karşın	karşın+Postp+PCDat
ilişkin	ilişkin+Postp+PCDat
ötürü	ötürü+Postp+PCAbl
değin	değin+Postp+PCDat
itibaren	itibaren+Postp+PCAbl
nazaran	nazaran+Postp+PCDat
hitaben	hitaben+Postp+PCDat
ilaveten	ilaveten+Postp+PCDat
kala	kala+Postp+PCNom
istinaden	istinaden+Postp+PCDat
yanısıra	yanısıra+Postp+PCGen
