bu	bu+Pron+Demons+A3sg+Pnon+Nom
kendisine	kendi+Pron+Reflex+A3sg+P3sg+Dat
kendisi	kendi+Pron+Reflex+A3sg+P3sg+Nom
senin	sen+Pron+Pers+A2sg+Pnon+Gen
sana	sen+Pron+Pers+A2sg+Pnon+Dat
bunu	bu+Pron+Demons+A3sg+Pnon+Acc
şu	şu+Pron+Demons+A3sg+Pnon+Nom
birine	biri+Pron+Quant+A3sg+P3sg+Dat
onu	o+Pron+Pers+A3sg+Pnon+Acc
o	o+Pron+Demons+A3sg+Pnon+Nom
ondan	o+Pron+Pers+A3sg+Pnon+Abl
buna	bu+Pron+Demons+A3sg+Pnon+Dat
ona	o+Pron+Pers+A3sg+Pnon+Dat
size	siz+Pron+Pers+A2pl+Pnon+Dat
benim	ben+Pron+Pers+A1sg+Pnon+Gen
bana	ben+Pron+Pers+A1sg+Pnon+Dat
kendi	kendi+Pron+Reflex+A3sg+P3sg+Nom
kendisini	kendi+Pron+Reflex+A3sg+P3sg+Acc
beni	ben+Pron+Pers+A1sg+Pnon+Acc
bunun	bu+Pron+Demons+A3sg+Pnon+Gen
onun	o+Pron+Pers+A3sg+Pnon+Gen
biriyle	biri+Pron+Quant+A3sg+P3sg+Ins
sen	sen+Pron+Pers+A2sg+Pnon+Nom
onları	o+Pron+Pers+A3pl+Pnon+Acc
biri	biri+Pron+Quant+A3sg+P3sg+Nom
senden	sen+Pron+Pers+A2sg+Pnon+Abl
kendimizden	kendi+Pron+Reflex+A1pl+P1pl+Abl
bize	biz+Pron+Pers+A1pl+Pnon+Dat
birinin	biri+Pron+Quant+A3sg+P3sg+Gen
hepsi	hepsi+Pron+Quant+A3pl+P3pl+Nom
onunla	o+Pron+Pers+A3sg+Pnon+Ins
onunkilere	on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Dat
bunları	bu+Pron+Demons+A3pl+Pnon+Acc
bizler	biz+Pron+Pers+A1pl+Pnon+Nom
biz	biz+Pron+Pers+A1pl+Pnon+Nom
seni	sen+Pron+Pers+A2sg+Pnon+Acc
onlar	o+Pron+Pers+A3pl+Pnon+Nom
kendisiyle	kendi+Pron+Reflex+A3sg+P3sg+Ins
bunlar	bu+Pron+Demons+A3pl+Pnon+Nom
ben	ben+Pron+Pers+A1sg+Pnon+Nom
kendileri	kendi+Pron+Reflex+A3pl+P3pl+Nom
bizi	biz+Pron+Pers+A1pl+Pnon+Acc
benimle	ben+Pron+Pers+A1sg+Pnon+Ins
birbirleriyle	birbiri+Pron+Quant+A3pl+P3pl+Ins
onların	o+Pron+Pers+A3pl+Pnon+Gen
bence	ben+Pron+Pers+A1sg+Pnon+Equ
bende	ben+Pron+Pers+A1sg+Pnon+Loc
onlara	o+Pron+Pers+A3pl+Pnon+Dat
kendini	kendi+Pron+Reflex+A3sg+P3sg+Acc
kendinden	kendi+Pron+Reflex+A3sg+P3sg+Abl
kendine	kendi+Pron+Reflex+A3sg+P3sg+Dat
birbirlerini	birbiri+Pron+Quant+A3pl+P3pl+Acc
sizin	siz+Pron+Pers+A2pl+Pnon+Gen
kendimi	kendi+Pron+Reflex+A1sg+P1sg+Acc
öbürlerini	öbür+Pron+Quant+A3pl+P3pl+Acc
birbirine	birbiri+Pron+Quant+A3sg+P3sg+Dat
siz	siz+Pron+Pers+A2pl+Pnon+Nom
bundan	bu+Pron+Demons+A3sg+Pnon+Abl
benden	ben+Pron+Pers+A1sg+Pnon+Abl
sizinle	siz+Pron+Pers+A2pl+Pnon+Ins
kendim	kendi+Pron+Reflex+A1sg+P1sg+Nom
sizi	siz+Pron+Pers+A2pl+Pnon+Acc
kendinizi	kendi+Pron+Reflex+A2pl+P2pl+Acc
sizden	siz+Pron+Pers+A2pl+Pnon+Abl
hepsini	hepsi+Pron+Quant+A3pl+P3pl+Acc
kendiniz	kendi+Pron+Reflex+A2pl+P2pl+Nom
hepimiz	hep+Pron+Quant+A1pl+P1pl+Nom
bunda	bu+Pron+Demons+A3sg+Pnon+Loc
deminki	dem+Noun+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
birbirinize	birbiri+Pron+Quant+A2pl+P2pl+Dat
bizden	biz+Pron+Pers+A1pl+Pnon+Abl
bizim	biz+Pron+Pers+A1pl+Pnon+Gen
hiçbiri	hiçbiri+Pron+Quant+A3sg+P3sg+Nom
kendilerini	kendi+Pron+Reflex+A3pl+P3pl+Acc
öbürü	öbür+Pron+Quant+A3sg+P3sg+Nom
bunlardan	bu+Pron+Demons+A3pl+Pnon+Abl
birisi	biri+Pron+Quant+A3sg+P3sg+Nom
sende	sen+Pron+Pers+A2sg+Pnon+Loc
bununla	bu+Pron+Demons+A3sg+Pnon+Ins
birini	biri+Pron+Quant+A3sg+P3sg+Acc
onlardan	o+Pron+Pers+A3pl+Pnon+Abl
bunların	bu+Pron+Demons+A3pl+Pnon+Gen
seyisinkini	seyis+Noun+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Acc
birbirimizi	birbiri+Pron+Quant+A1pl+P1pl+Acc
birbirimizle	birbiri+Pron+Quant+A1pl+P1pl+Ins
onlarla	o+Pron+Demons+A3pl+Pnon+Ins
kendime	kendi+Pron+Reflex+A1sg+P1sg+Dat
kendinize	kendi+Pron+Reflex+A2pl+P2pl+Dat
kendilerine	kendi+Pron+Reflex+A3pl+P3pl+Dat
birbirlerine	birbiri+Pron+Quant+A3pl+P3pl+Dat
kendimce	kendi+Pron+Reflex+A1sg+P1sg+Equ
şunu	şu+Pron+Demons+A3sg+Pnon+Acc
hiçbirimizi	hiçbiri+Pron+Quant+A1pl+P1pl+Acc
kendisinde	kendi+Pron+Reflex+A3sg+P3sg+Loc
birbirinden	birbiri+Pron+Quant+A3sg+P3sg+Abl
kendisinden	kendi+Pron+Reflex+A3sg+P3sg+Abl
şunları	şu+Pron+Demons+A3pl+Pnon+Acc
birbirimizden	birbiri+Pron+Quant+A1pl+P1pl+Abl
birinden	biri+Pron+Quant+A3sg+P3sg+Abl
bazıları	bazı+Pron+Quant+A3pl+P3pl+Nom
birimiz	biri+Pron+Quant+A1pl+P1pl+Nom
hepimizi	hep+Pron+Quant+A1pl+P1pl+Acc
kendimizi	kendi+Pron+Reflex+A1pl+P1pl+Acc
