mi	mi+Ques+Pres+A3sg
miydin	mi+Ques+Past+A2sg
mu	mu+Ques+Pres+A3sg
kim	kim+Pron+Ques+A3sg+Pnon+Nom
mı	mı+Ques+Pres+A3sg
misin	mi+Ques+Pres+A2sg
musun	mu+Ques+Pres+A2sg
neler	ne+Pron+Ques+A3pl+Pnon+Nom
mısınız	mı+Ques+Pres+A2pl
mıydı	mı+Ques+Past+A3sg
nereden	nere+Pron+Ques+A3sg+Pnon+Abl
kimden	kim+Pron+Ques+A3sg+Pnon+Abl
nerede	nere+Pron+Ques+A3sg+Pnon+Loc
midir	mi+Ques+Pres+A3sg+Cop
miydiniz	mi+Ques+Past+A2pl
musunuz	mu+Ques+Pres+A2pl
misiniz	mi+Ques+Pres+A2pl
mü	mü+Ques+Pres+A3sg
miydi	mi+Ques+Past+A3sg
hangisi	hangi+Pron+Ques+A3sg+P3sg+Nom
neyle	ne+Pron+Ques+A3sg+Pnon+Ins
miydim	mi+Ques+Past+A1sg
nelere	ne+Pron+Ques+A3pl+Pnon+Dat
kiminle	kim+Pron+Ques+A3sg+P2sg+Ins
miyim	mi+Ques+Pres+A1sg
muydun	mu+Ques+Past+A2sg
muydu	mu+Ques+Past+A3sg
nereye	nere+Pron+Ques+A3sg+Pnon+Dat
kime	kim+Pron+Ques+A3sg+Pnon+Dat
mısın	mı+Ques+Pres+A2sg
kimin	kim+Pron+Ques+A3sg+Pnon+Gen
neye	ne+Pron+Ques+A3sg+Pnon+Dat
nerden	nere+Pron+Ques+A3sg+Pnon+Abl
miyiz	mi+Ques+Pres+A1pl
mudur	mu+Ques+Pres+A3sg+Cop
neresi	nere+Pron+Ques+A3sg+P3sg+Nom
neyiniz	ne+Pron+Ques+A3sg+P2pl+Nom
mıydınız	mı+Ques+Past+A2pl
muyum	mu+Ques+Pres+A1sg
hanginiz	hangi+Pron+Ques+A2pl+P2pl+Nom
kimler	kim+Pron+Ques+A3pl+Pnon+Nom
kaçınızın	kaç+Pron+Ques+A2pl+P2pl+Gen
nereyi	nere+Pron+Ques+A3sg+Pnon+Acc
neyim	ne+Pron+Ques+A3sg+P1sg+Nom
muydunuz	mu+Ques+Past+A2pl
neyin	ne+Pron+Ques+A3sg+P2sg+Nom
nerelere	nere+Pron+Ques+A3pl+Pnon+Dat
neyi	ne+Pron+Ques+A3sg+Pnon+Acc
nelerden	ne+Pron+Ques+A3pl+Pnon+Abl
neleri	ne+Pron+Ques+A3pl+Pnon+Acc
hangisiyle	hangi+Pron+Ques+A3sg+P3sg+Ins
mıyım	mı+Ques+Pres+A1sg
hangisinin	hangi+Pron+Ques+A3sg+P3sg+Gen
hangilerinin	hangi+Pron+Ques+A3pl+P3pl+Gen
nelerin	ne+Pron+Ques+A3pl+P2sg+Nom
kaçının	kaç+Pron+Ques+A3pl+P3pl+Gen
nerelerde	nere+Pron+Ques+A3pl+Pnon+Loc
hangisine	hangi+Pron+Ques+A3sg+P3sg+Dat
hangileri	hangi+Pron+Ques+A3pl+P3pl+Nom
mıdır	mı+Ques+Pres+A3sg+Cop
muymuş	mu+Ques+Narr+A3sg
mıydık	mı+Ques+Past+A1pl
kimlere	kim+Pron+Ques+A3pl+Pnon+Dat
müsün	mü+Ques+Pres+A2sg
kimle	kim+Pron+Ques+A3sg+Pnon+Ins
mıyız	mı+Ques+Pres+A1pl
nesine	ne+Pron+Ques+A3sg+P3sg+Dat
hangisini	hangi+Pron+Ques+A3sg+P3sg+Acc
kiminde	kim+Pron+Ques+A3sg+P3sg+Loc
neremde	nere+Pron+Ques+A3sg+P1sg+Loc
neresinde	nere+Pron+Ques+A3sg+P3sg+Loc
nesi	ne+Pron+Ques+A3sg+P3sg+Nom
kimlerin	kim+Pron+Ques+A3pl+P2sg+Nom
kiminiz	kim+Pron+Ques+A3sg+P2pl+Nom
hangisinde	hangi+Pron+Ques+A3sg+P3sg+Loc
