verirsiniz	ver+Verb+Pos+Aor+A2pl
geçersin	geç+Verb+Pos+Aor+A2sg
duyarım	duy+Verb+Pos+Aor+A1sg
çekmem	çek+Verb+Neg+Aor+A1sg
yaşamam	yaşa+Verb+Neg+Aor+A1sg
söyler	söyle+Verb+Pos+Aor+A3sg
koruruz	koru+Verb+Pos+Aor+A1pl
korkmam	kork+Verb+Neg+Aor+A1sg
inanırım	inan+Verb+Pos+Aor+A1sg
yeğlerim	yeğle+Verb+Pos+Aor+A1sg
tutar	tut+Verb+Pos+Aor+A3sg
kılar	kıl+Verb+Pos+Aor+A3sg
giyersin	giy+Verb+Pos+Aor+A2sg
takarsın	tak+Verb+Pos+Aor+A2sg
koymaz	koy+Verb+Neg+Aor+A3sg
anlarsın	anla+Verb+Pos+Aor+A2sg
görünür	görün+Verb+Pos+Aor+A3sg
durur	dur+Verb+Pos+Aor+A3sg
tanır	tanı+Verb+Pos+Aor+A3sg
gitmez	git+Verb+Neg+Aor+A3sg
yaşarsınız	yaşa+Verb+Pos+Aor+A2pl
gömersiniz	göm+Verb+Pos+Aor+A2pl
demem	de+Verb+Neg+Aor+A1sg
içerim	iç+Verb+Pos+Aor+A1sg
bakmaz	bak+Verb+Neg+Aor+A3sg
buyurur	buyur+Verb+Pos+Aor+A3sg
görmezler	gör+Verb+Neg+Aor+A3pl
istersiniz	iste+Verb+Pos+Aor+A2pl
vermezsiniz	ver+Verb+Neg+Aor+A2pl
öderim	öde+Verb+Pos+Aor+A1sg
ödersiniz	öde+Verb+Pos+Aor+A2pl
sızlar	sızla+Verb+Pos+Aor+A3sg
belirir	belir+Verb+Pos+Aor+A3sg
öper	öp+Verb+Pos+Aor+A3sg
ağlarlar	ağla+Verb+Pos+Aor+A3pl
yatar	yat+Verb+Pos+Aor+A3sg
yollarım	yolla+Verb+Pos+Aor+A1sg
beklemezler	bekle+Verb+Neg+Aor+A3pl
açmazlar	aç+Verb+Neg+Aor+A3pl
oturur	otur+Verb+Pos+Aor+A3sg
inceler	incele+Verb+Pos+Aor+A3sg
şaşırırsınız	şaşır+Verb+Pos+Aor+A2pl
kalırız	kal+Verb+Pos+Aor+A1pl
başlamaz	başla+Verb+Neg+Aor+A3sg
yenmez	yen+Verb+Neg+Aor+A3sg
dönmez	dön+Verb+Neg+Aor+A3sg
girmez	gir+Verb+Neg+Aor+A3sg
fısıldar	fısılda+Verb+Pos+Aor+A3sg
kaçınır	kaçın+Verb+Pos+Aor+A3sg
incelir	incel+Verb+Pos+Aor+A3sg
duyarız	duy+Verb+Pos+Aor+A1pl
oflar	ofla+Verb+Pos+Aor+A3sg
yapmaz	yap+Verb+Neg+Aor+A3sg
bekler	bekle+Verb+Pos+Aor+A3sg
kalmam	kal+Verb+Neg+Aor+A1sg
görüşürüz	görüş+Verb+Pos+Aor+A1pl
okşar	okşa+Verb+Pos+Aor+A3sg
kurur	kuru+Verb+Pos+Aor+A3sg
kaybolurlar	kaybol+Verb+Pos+Aor+A3pl
ölmez	öl+Verb+Neg+Aor+A3sg
çıkarsın	çık+Verb+Pos+Aor+A2sg
evleniriz	evlen+Verb+Pos+Aor+A1pl
ilerlemem	ilerle+Verb+Neg+Aor+A1sg
önemsemez	önemse+Verb+Neg+Aor+A3sg
yollarsınız	yolla+Verb+Pos+Aor+A2pl
sunar	sun+Verb+Pos+Aor+A3sg
türer	türe+Verb+Pos+Aor+A3sg
yutar	yut+Verb+Pos+Aor+A3sg
kemirirler	kemir+Verb+Pos+Aor+A3pl
cezbeder	cezbet+Verb+Pos+Aor+A3sg
varır	var+Verb+Pos+Aor+A3sg
sağlar	sağla+Verb+Pos+Aor+A3sg
listeler	listele+Verb+Pos+Aor+A3sg
açıklar	açıkla+Verb+Pos+Aor+A3sg
girersiniz	gir+Verb+Pos+Aor+A2pl
ayarlamaz	ayarla+Verb+Neg+Aor+A3sg
vermez	ver+Verb+Neg+Aor+A3sg
reddeder	reddet+Verb+Pos+Aor+A3sg
devralırlar	devral+Verb+Pos+Aor+A3pl
görüntüler	görüntüle+Verb+Pos+Aor+A3sg
gerekmez	gerek+Verb+Neg+Aor+A3sg
ekler	ekle+Verb+Pos+Aor+A3sg
kullanır	kullan+Verb+Pos+Aor+A3sg
