vermezsin	ver+Verb+Neg+Aor+A2sg
sanırım	san+Verb+Pos+Aor+A1sg
olur	ol+Verb+Pos+Aor+A3sg
ederim	et+Verb+Pos+Aor+A1sg
bulunur	bulun+Verb+Pos+Aor+A3sg
gelir	gel+Verb+Pos+Aor+A3sg
istemem	iste+Verb+Neg+Aor+A1sg
onaylamam	onayla+Verb+Neg+Aor+A1sg
bilirsin	bil+Verb+Pos+Aor+A2sg
getirir	getir+Verb+Pos+Aor+A3sg
eklerler	ekle+Verb+Pos+Aor+A3pl
kalırlar	kal+Verb+Pos+Aor+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
zannederiz	zannet+Verb+Pos+Aor+A1pl
överiz	öv+Verb+Pos+Aor+A1pl
buluruz	bul+Verb+Pos+Aor+A1pl
çürür	çürü+Verb+Pos+Aor+A3sg
taşır	taşı+Verb+Pos+Aor+A3sg
unuturuz	unut+Verb+Pos+Aor+A1pl
benzemez	benze+Verb+Neg+Aor+A3sg
etmez	et+Verb+Neg+Aor+A3sg
eder	et+Verb+Pos+Aor+A3sg
korkarım	kork+Verb+Pos+Aor+A1sg
zorlar	zorla+Verb+Pos+Aor+A3sg
ödemez	öde+Verb+Neg+Aor+A3sg
duymaz	duy+Verb+Neg+Aor+A3sg
bilmez	bil+Verb+Neg+Aor+A3sg
davranırlar	davran+Verb+Pos+Aor+A3pl
ederler	ederle+Verb+Pos+Aor+A3sg
verirler	ver+Verb+Pos+Aor+A3pl
bilmem	bil+Verb+Neg+Aor+A1sg
alır	al+Verb+Pos+Aor+A3sg
bırakır	bırak+Verb+Pos+Aor+A3sg
bayılırım	bayıl+Verb+Pos+Aor+A1sg
değişirler	değiş+Verb+Pos+Aor+A3pl
izlerler	izle+Verb+Pos+Aor+A3pl
yapar	yap+Verb+Pos+Aor+A3sg
hisseder	hisset+Verb+Pos+Aor+A3sg
dilemem	dile+Verb+Neg+Aor+A1sg
yaraşır	yaraş+Verb+Pos+Aor+A3sg
geliriz	gel+Verb+Pos+Aor+A1pl
tanırlar	tanı+Verb+Pos+Aor+A3pl
dayanır	dayan+Verb+Pos+Aor+A3sg
bilir	bil+Verb+Pos+Aor+A3sg
kalır	kal+Verb+Pos+Aor+A3sg
umursamaz	umursa+Verb+Neg+Aor+A3sg
biter	bit+Verb+Pos+Aor+A3sg
bitmez	bit+Verb+Neg+Aor+A3sg
kalkar	kalk+Verb+Pos+Aor+A3sg
gelmez	gel+Verb+Neg+Aor+A3sg
düşünmem	düşün+Verb+Neg+Aor+A1sg
sanmam	san+Verb+Neg+Aor+A1sg
anlarsınız	anla+Verb+Pos+Aor+A2pl
başlar	başla+Verb+Pos+Aor+A3sg
susmaz	sus+Verb+Neg+Aor+A3sg
bırakmazlar	bırak+Verb+Neg+Aor+A3pl
bulunmaz	bulun+Verb+Neg+Aor+A3sg
