gitmeyecek	git+Verb+Neg+Fut+A3sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bulacak	bul+Verb+Pos+Fut+A3sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
geçecek	geç+Verb+Pos+Fut+A3sg
edeceğim	et+Verb+Pos+Fut+A1sg
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
göreceksiniz	gör+Verb+Pos+Fut+A2pl
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
olacağım	ol+Verb+Pos+Fut+A1sg
bulacağım	bul+Verb+Pos+Fut+A1sg
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
seveceksin	sev+Verb+Pos+Fut+A2sg
olacaksın	ol+Verb+Pos+Fut+A2sg
olmayacak	ol+Verb+Neg+Fut+A3sg
geleceksin	gel+Verb+Pos+Fut+A2sg
unutacaksınız	unut+Verb+Pos+Fut+A2pl
kalkacak	kalk+Verb+Pos+Fut+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
adayacağım	ada+Verb+Pos+Fut+A1sg
izleyeceğim	izle+Verb+Pos+Fut+A1sg
girecek	gir+Verb+Pos+Fut+A3sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
çıkmayacağım	çık+Verb+Neg+Fut+A1sg
verecekler	ver+Verb+Pos+Fut+A3pl
duyacaksınız	duy+Verb+Pos+Fut+A2pl
gideceğim	git+Verb+Pos+Fut+A1sg
kopacak	kop+Verb+Pos+Fut+A3sg
bulacaksınız	bul+Verb+Pos+Fut+A2pl
başlayacağım	başla+Verb+Pos+Fut+A1sg
eriyecek	eri+Verb+Pos+Fut+A3sg
bahsedecek	bahset+Verb+Pos+Fut+A3sg
ayıracaksınız	ayır+Verb+Pos+Fut+A2pl
koruyacaksınız	koru+Verb+Pos+Fut+A2pl
parlayacak	parla+Verb+Pos+Fut+A3sg
sereceğim	ser+Verb+Pos+Fut+A1sg
tekrarlayacağım	tekrarla+Verb+Pos+Fut+A1sg
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
bulunacağım	bulun+Verb+Pos+Fut+A1sg
anlayacaklar	anla+Verb+Pos+Fut+A3pl
bakacağım	bak+Verb+Pos+Fut+A1sg
diyeceğim	de+Verb+Pos+Fut+A1sg
yayacağım	yay+Verb+Pos+Fut+A1sg
inceleyecek	incele+Verb+Pos+Fut+A3sg
vereceksiniz	ver+Verb+Pos+Fut+A2pl
konacak	kon+Verb+Pos+Fut+A3sg
bahsedeceğim	bahset+Verb+Pos+Fut+A1sg
söyleyeceğim	söyle+Verb+Pos+Fut+A1sg
yapacağım	yap+Verb+Pos+Fut+A1sg
olacaksınız	ol+Verb+Pos+Fut+A2pl
koyacak	koy+Verb+Pos+Fut+A3sg
çalışacağım	çalış+Verb+Pos+Fut+A1sg
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
koyacağız	koy+Verb+Pos+Fut+A1pl
soracağım	sor+Verb+Pos+Fut+A1sg
kaçacağım	kaç+Verb+Pos+Fut+A1sg
kalkacaksınız	kalk+Verb+Pos+Fut+A2pl
dinleyecek	dinle+Verb+Pos+Fut+A3sg
kıvıracağım	kıvır+Verb+Pos+Fut+A1sg
kıvıracak	kıvır+Verb+Pos+Fut+A3sg
öğrenecek	öğren+Verb+Pos+Fut+A3sg
