yapmış	yap+Verb+Pos+Narr+A3sg
eskimiş	eski+Verb+Pos+Narr+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
kalmış	kal+Verb+Pos+Narr+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
doğmuş	doğ+Verb+Pos+Narr+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
girmiş	gir+Verb+Pos+Narr+A3sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
gelmiş	gel+Verb+Pos+Narr+A3sg
değişmiş	değiş+Verb+Pos+Narr+A3sg
beğenmiş	beğen+Verb+Pos+Narr+A3sg
duymamış	duy+Verb+Neg+Narr+A3sg
değilmiş	değil+Verb+Neg+Narr+A3sg
yemiş	ye+Verb+Pos+Narr+A3sg
etmişler	et+Verb+Pos+Narr+A3pl
dikmiş	dik+Verb+Pos+Narr+A3sg
coşmuş	coş+Verb+Pos+Narr+A3sg
sevmemiş	sev+Verb+Neg+Narr+A3sg
sıkmış	sık+Verb+Pos+Narr+A3sg
duymuş	duy+Verb+Pos+Narr+A3sg
öğrenmiş	öğren+Verb+Pos+Narr+A3sg
görmüş	gör+Verb+Pos+Narr+A3sg
bırakmamışsınız	bırak+Verb+Neg+Narr+A2pl
dinlemişsiniz	dinle+Verb+Pos+Narr+A2pl
sormuş	sor+Verb+Pos+Narr+A3sg
kalmamış	kal+Verb+Neg+Narr+A3sg
yanılmamışım	yanıl+Verb+Neg+Narr+A1sg
inanmış	inan+Verb+Pos+Narr+A3sg
etmiş	et+Verb+Pos+Narr+A3sg
emretmemiş	emret+Verb+Neg+Narr+A3sg
çıkmış	çık+Verb+Pos+Narr+A3sg
almış	al+Verb+Pos+Narr+A3sg
yetişmemiş	yetiş+Verb+Neg+Narr+A3sg
kaybetmiş	kaybet+Verb+Pos+Narr+A3sg
yatmış	yat+Verb+Pos+Narr+A3sg
çiğnemiş	çiğne+Verb+Pos+Narr+A3sg
anlamış	anla+Verb+Pos+Narr+A3sg
uyanmış	uyan+Verb+Pos+Narr+A3sg
kaçmış	kaç+Verb+Pos+Narr+A3sg
durmamış	dur+Verb+Neg+Narr+A3sg
etmemiş	et+Verb+Neg+Narr+A3sg
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
