indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
yaptı	yap+Verb+Pos+Past+A3sg
bulundu	bulun+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
verdi	ver+Verb+Pos+Past+A3sg
gördüm	gör+Verb+Pos+Past+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
indiler	in+Verb+Pos+Past+A3pl
okşadı	okşa+Verb+Pos+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
gitti	git+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
gördü	gör+Verb+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
miydin	mi+Ques+Past+A2sg
salladı	salla+Verb+Pos+Past+A3sg
sevdik	sev+Verb+Pos+Past+A1pl
haykırdı	haykır+Verb+Pos+Past+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
öptü	öp+Verb+Pos+Past+A3sg
gösterdi	göster+Verb+Pos+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
duydu	duy+Verb+Pos+Past+A3sg
hatırladı	hatırla+Verb+Pos+Past+A3sg
etmedi	et+Verb+Neg+Past+A3sg
hissetti	hisset+Verb+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
söylemedim	söyle+Verb+Neg+Past+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
sordu	sor+Verb+Pos+Past+A3sg
gelmedik	gel+Verb+Neg+Past+A1pl
güldü	gül+Verb+Pos+Past+A3sg
oldu	ol+Verb+Pos+Past+A3sg
söyledin	söyle+Verb+Pos+Past+A2sg
karıştı	karış+Verb+Pos+Past+A3sg
yedim	ye+Verb+Pos+Past+A1sg
gittim	git+Verb+Pos+Past+A1sg
izledim	izle+Verb+Pos+Past+A1sg
unuttum	unut+Verb+Pos+Past+A1sg
konuştum	konuş+Verb+Pos+Past+A1sg
yaklaştı	yaklaş+Verb+Pos+Past+A3sg
öptük	öp+Verb+Pos+Past+A1pl
titredi	titre+Verb+Pos+Past+A3sg
ürperdi	ürper+Verb+Pos+Past+A3sg
söylemedi	söyle+Verb+Neg+Past+A3sg
fısıldadılar	fısılda+Verb+Pos+Past+A3pl
yaptın	yap+Verb+Pos+Past+A2sg
bıraktım	bırak+Verb+Pos+Past+A1sg
yudumladı	yudumla+Verb+Pos+Past+A3sg
unuttun	unut+Verb+Pos+Past+A2sg
konuşmadım	konuş+Verb+Neg+Past+A1sg
mırıldandı	mırıldan+Verb+Pos+Past+A3sg
sordum	sor+Verb+Pos+Past+A1sg
değiştim	değiş+Verb+Pos+Past+A1sg
silkti	silk+Verb+Pos+Past+A3sg
geçti	geç+Verb+Pos+Past+A3sg
yudumladılar	yudumla+Verb+Pos+Past+A3pl
kapladı	kapla+Verb+Pos+Past+A3sg
götürdü	götür+Verb+Pos+Past+A3sg
paylaştılar	paylaş+Verb+Pos+Past+A3pl
anladım	anla+Verb+Pos+Past+A1sg
düşündü	düşün+Verb+Pos+Past+A3sg
başladı	başla+Verb+Pos+Past+A3sg
girdi	gir+Verb+Pos+Past+A3sg
durdu	dur+Verb+Pos+Past+A3sg
konuştu	konuş+Verb+Pos+Past+A3sg
yarattı	yarat+Verb+Pos+Past+A3sg
beklediler	bekle+Verb+Pos+Past+A3pl
değildi	değil+Verb+Neg+Past+A3sg
okudu	oku+Verb+Pos+Past+A3sg
dağıldı	dağıl+Verb+Pos+Past+A3sg
başladılar	başla+Verb+Pos+Past+A3pl
giydi	giy+Verb+Pos+Past+A3sg
göründü	görün+Verb+Pos+Past+A3sg
geçtim	geç+Verb+Pos+Past+A1sg
sardı	sar+Verb+Pos+Past+A3sg
mıydı	mı+Ques+Past+A3sg
dönmediler	dön+Verb+Neg+Past+A3pl
uyardı	uyar+Verb+Pos+Past+A3sg
koymadı	koy+Verb+Neg+Past+A3sg
yuvarladı	yuvarla+Verb+Pos+Past+A3sg
karşılaştım	karşılaş+Verb+Pos+Past+A1sg
kızdı	kız+Verb+Pos+Past+A3sg
basmadım	bas+Verb+Neg+Past+A1sg
miydiniz	mi+Ques+Past+A2pl
giderdi	gider+Verb+Pos+Past+A3sg
duydum	duy+Verb+Pos+Past+A1sg
yürüdü	yürü+Verb+Pos+Past+A3sg
uğraştı	uğraş+Verb+Pos+Past+A3sg
dinledim	dinle+Verb+Pos+Past+A1sg
koydular	koy+Verb+Pos+Past+A3pl
eğlendiniz	eğlen+Verb+Pos+Past+A2pl
sezdi	sez+Verb+Pos+Past+A3sg
hatırladın	hatırla+Verb+Pos+Past+A2sg
ettik	et+Verb+Pos+Past+A1pl
çıktım	çık+Verb+Pos+Past+A1sg
baktım	bak+Verb+Pos+Past+A1sg
buldunuz	bul+Verb+Pos+Past+A2pl
evlendi	evlen+Verb+Pos+Past+A3sg
kayboldu	kaybol+Verb+Pos+Past+A3sg
büyüledi	büyüle+Verb+Pos+Past+A3sg
hatırladım	hatırla+Verb+Pos+Past+A1sg
unutmadım	unut+Verb+Neg+Past+A1sg
geveledi	gevele+Verb+Pos+Past+A3sg
reddetti	reddet+Verb+Pos+Past+A3sg
miydi	mi+Ques+Past+A3sg
getirdi	getir+Verb+Pos+Past+A3sg
çöktü	çök+Verb+Pos+Past+A3sg
körükledi	körükle+Verb+Pos+Past+A3sg
kucakladı	kucakla+Verb+Pos+Past+A3sg
çevirdi	çevir+Verb+Pos+Past+A3sg
ettiniz	et+Verb+Pos+Past+A2pl
zorladı	zorla+Verb+Pos+Past+A3sg
geldiniz	gel+Verb+Pos+Past+A2pl
yaptınız	yap+Verb+Pos+Past+A2pl
kapadı	kapa+Verb+Pos+Past+A3sg
istedi	iste+Verb+Pos+Past+A3sg
kaldı	kal+Verb+Pos+Past+A3sg
süzdü	süz+Verb+Pos+Past+A3sg
