bulunuyor	bulun+Verb+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
geliyor	gel+Verb+Pos+Prog1+A3sg
sanıyorum	san+Verb+Pos+Prog1+A1sg
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
buluyorum	bula+Verb+Pos+Prog1+A1sg
hissediyorum	hisset+Verb+Pos+Prog1+A1sg
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
sarıyor	sar+Verb+Pos+Prog1+A3sg
öpüyorum	öp+Verb+Pos+Prog1+A1sg
görüyor	gör+Verb+Pos+Prog1+A3sg
kalıyor	kal+Verb+Pos+Prog1+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
istiyorum	iste+Verb+Pos+Prog1+A1sg
geçiyorsun	geç+Verb+Pos+Prog1+A2sg
yapıyor	yap+Verb+Pos+Prog1+A3sg
kastediyorsun	kastet+Verb+Pos+Prog1+A2sg
ediyorum	et+Verb+Pos+Prog1+A1sg
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
sallıyor	salla+Verb+Pos+Prog1+A3sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
onaylıyorum	onayla+Verb+Pos+Prog1+A1sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
bakıyor	bak+Verb+Pos+Prog1+A3sg
ediyorsun	et+Verb+Pos+Prog1+A2sg
saçıyor	saç+Verb+Pos+Prog1+A3sg
diliyorum	dile+Verb+Pos+Prog1+A1sg
görünmüyor	görün+Verb+Neg+Prog1+A3sg
gidiyor	git+Verb+Pos+Prog1+A3sg
oturuyor	otur+Verb+Pos+Prog1+A3sg
düşünüyorsunuz	düşün+Verb+Pos+Prog1+A2pl
hatırlamıyorum	hatırla+Verb+Neg+Prog1+A1sg
ediyor	et+Verb+Pos+Prog1+A3sg
gidiyorum	git+Verb+Pos+Prog1+A1sg
gösteriyorum	göster+Verb+Pos+Prog1+A1sg
yapıyorsunuz	yap+Verb+Pos+Prog1+A2pl
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
çarpıyor	çarp+Verb+Pos+Prog1+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
diyorsunuz	de+Verb+Pos+Prog1+A2pl
bahsediyorum	bahset+Verb+Pos+Prog1+A1sg
hatırlıyorum	hatırla+Verb+Pos+Prog1+A1sg
konuşuyor	konuş+Verb+Pos+Prog1+A3sg
mahvediyorsunuz	mahvet+Verb+Pos+Prog1+A2pl
yaşıyoruz	yaşa+Verb+Pos+Prog1+A1pl
görmüyor	gör+Verb+Neg+Prog1+A3sg
kastetmiyorum	kastet+Verb+Neg+Prog1+A1sg
söylüyorum	söyle+Verb+Pos+Prog1+A1sg
büyülüyorsunuz	büyüle+Verb+Pos+Prog1+A2pl
koşuyor	koş+Verb+Pos+Prog1+A3sg
ediyorsunuz	et+Verb+Pos+Prog1+A2pl
anlamıyor	anla+Verb+Neg+Prog1+A3sg
hatırlıyor	hatırla+Verb+Pos+Prog1+A3sg
istemiyorum	iste+Verb+Neg+Prog1+A1sg
istiyorsunuz	iste+Verb+Pos+Prog1+A2pl
hissediyor	hisset+Verb+Pos+Prog1+A3sg
bırakıyorsun	bırak+Verb+Pos+Prog1+A2sg
biliyor	bile+Verb+Pos+Prog1+A3sg
veriyorum	ver+Verb+Pos+Prog1+A1sg
başlıyorum	başla+Verb+Pos+Prog1+A1sg
kalkışıyorsunuz	kalkış+Verb+Pos+Prog1+A2pl
gerekiyor	gerek+Verb+Pos+Prog1+A3sg
bakıyorsunuz	bak+Verb+Pos+Prog1+A2pl
konuşuyorsunuz	konuş+Verb+Pos+Prog1+A2pl
soruyorsunuz	sor+Verb+Pos+Prog1+A2pl
duruyorsunuz	dur+Verb+Pos+Prog1+A2pl
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
sanıyorsunuz	san+Verb+Pos+Prog1+A2pl
çekiyorsunuz	çek+Verb+Pos+Prog1+A2pl
konuşuyorum	konuş+Verb+Pos+Prog1+A1sg
seviyor	sev+Verb+Pos+Prog1+A3sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
kazıyorsunuz	kaz+Verb+Pos+Prog1+A2pl
açıklıyorsunuz	açıkla+Verb+Pos+Prog1+A2pl
durmuyorum	dur+Verb+Neg+Prog1+A1sg
okuyor	oku+Verb+Pos+Prog1+A3sg
