yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
edemez	et+Verb^DB+Verb+Able+Neg+Aor+A3sg
vermezsin	ver+Verb+Neg+Aor+A2sg
sanırım	san+Verb+Pos+Aor+A1sg
olur	ol+Verb+Pos+Aor+A3sg
verirse	ver+Verb+Pos+Aor+Cond+A3sg
ederim	et+Verb+Pos+Aor+A1sg
bulunur	bulun+Verb+Pos+Aor+A3sg
gelir	gel+Verb+Pos+Aor+A3sg
istemem	iste+Verb+Neg+Aor+A1sg
yanılmaz	yan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
unutmazsa	unut+Verb+Neg+Aor+Cond+A3sg
onaylamam	onayla+Verb+Neg+Aor+A1sg
olursa	ol+Verb+Pos+Aor+Cond+A3sg
bilirsin	bil+Verb+Pos+Aor+A2sg
yitirirler	yit+Verb^DB+Verb+Caus+Pos+Aor+A3pl
getirir	getir+Verb+Pos+Aor+A3sg
eklerler	ekle+Verb+Pos+Aor+A3pl
kalırlar	kal+Verb+Pos+Aor+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
zannederiz	zannet+Verb+Pos+Aor+A1pl
överiz	öv+Verb+Pos+Aor+A1pl
buluruz	bul+Verb+Pos+Aor+A1pl
çürür	çürü+Verb+Pos+Aor+A3sg
taşır	taşı+Verb+Pos+Aor+A3sg
anlatırsın	anla+Verb^DB+Verb+Caus+Pos+Aor+A2sg
otururlarken	otur+Verb+Pos+Aor+A3pl^DB+Adverb+While
edemem	et+Verb^DB+Verb+Able+Neg+Aor+A1sg
yapabilirim	yap+Verb+Pos^DB+Verb+Able+Aor+A1sg
kurtarabilir	kurtar+Verb+Pos^DB+Verb+Able+Aor+A3sg
bulabilirim	bul+Verb+Pos^DB+Verb+Able+Aor+A1sg
unuturuz	unut+Verb+Pos+Aor+A1pl
hatırlatırlar	hatırla+Verb^DB+Verb+Caus+Pos+Aor+A3pl
benzemez	benze+Verb+Neg+Aor+A3sg
etmez	et+Verb+Neg+Aor+A3sg
sinirlenmez	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Aor+A3sg
eder	et+Verb+Pos+Aor+A3sg
dönülmez	dön+Verb^DB+Verb+Pass+Neg+Aor+A3sg
feshedilemez	feshet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
korkarım	kork+Verb+Pos+Aor+A1sg
zorlar	zorla+Verb+Pos+Aor+A3sg
koyabilir	koy+Verb+Pos^DB+Verb+Able+Aor+A3sg
yaşarsa	yaşa+Verb+Pos+Aor+Cond+A3sg
ödemez	öde+Verb+Neg+Aor+A3sg
kullanabilir	kullan+Verb+Pos^DB+Verb+Able+Aor+A3sg
duymaz	duy+Verb+Neg+Aor+A3sg
bilmez	bil+Verb+Neg+Aor+A3sg
davranırlar	davran+Verb+Pos+Aor+A3pl
ederler	ederle+Verb+Pos+Aor+A3sg
olamaz	ol+Verb^DB+Verb+Able+Neg+Aor+A3sg
verirler	ver+Verb+Pos+Aor+A3pl
bilmem	bil+Verb+Neg+Aor+A1sg
alır	al+Verb+Pos+Aor+A3sg
bırakır	bırak+Verb+Pos+Aor+A3sg
isteyebilir	iste+Verb+Pos^DB+Verb+Able+Aor+A3sg
heyecanlandırabilir	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+A3sg
bayılırım	bayıl+Verb+Pos+Aor+A1sg
değişirler	değiş+Verb+Pos+Aor+A3pl
izlerler	izle+Verb+Pos+Aor+A3pl
yapar	yap+Verb+Pos+Aor+A3sg
tinselleştirir	tinsel+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Aor+A3sg
hisseder	hisset+Verb+Pos+Aor+A3sg
dilemem	dile+Verb+Neg+Aor+A1sg
katabilirse	kat+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
yaratabilirse	yara+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+Cond+A3sg
öğretebilirse	öğret+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
şereflenir	şeref+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Aor+A3sg
dayanılır	daya+Verb^DB+Verb+Pass+Pos+Aor+A3sg
yaraşır	yaraş+Verb+Pos+Aor+A3sg
geliriz	gel+Verb+Pos+Aor+A1pl
sonuçlanırsa	sonuç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Aor+Cond+A3sg
andırır	an+Verb^DB+Verb+Caus+Pos+Aor+A3sg
tanırlar	tanı+Verb+Pos+Aor+A3pl
yapılamaz	yap+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
dayanır	dayan+Verb+Pos+Aor+A3sg
bilir	bil+Verb+Pos+Aor+A3sg
kalır	kal+Verb+Pos+Aor+A3sg
uçarcasına	uç+Verb+Pos+Aor+A3sg^DB+Adverb+AsIf
gerekirse	gerek+Verb+Pos+Aor+Cond+A3sg
