değildir	değil+Verb+Neg+Pres+A3sg+Cop
duygusaldır	duygusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
iyidir	iyi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sahiptir	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kılmasıdır	kıl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
renksizdirler	renk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3pl+Cop
vardır	var+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gayesidir	gaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ibarettir	ibaret+Adj^DB+Verb+Zero+Pres+A3sg+Cop
budur	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkmamızdır	kork+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkudur	korku+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sağlayacaktır	sağla+Verb+Pos+Fut+A3sg+Cop
geçenlerdir	geç+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
aptallıktır	aptal+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
söyleyecektir	söyle+Verb+Pos+Fut+A3sg+Cop
pratiktirler	pratik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kadınlardır	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
hayvandır	hayvan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yemindir	yemin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şeydir	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sınavıdır	sınav+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işaretidir	işaret+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iyiyizdir	iyi+Adj^DB+Verb+Zero+Pres+A1pl+Cop
olmasıdır	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
temsilcisidir	temsilci+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yetmemesidir	yet+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
imtiyazıdır	imtiyaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
mecburdur	mecbur+Adj^DB+Verb+Zero+Pres+A3sg+Cop
fevkaladedir	fevkalade+Adj^DB+Verb+Zero+Pres+A3sg+Cop
