imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yapmış	yap+Verb+Pos+Narr+A3sg
eskimiş	eski+Verb+Pos+Narr+A3sg
dolanmış	dola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
verilmiş	ver+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çıkarmış	çık+Verb+Pos+Aor+Narr+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
kalmış	kal+Verb+Pos+Narr+A3sg
açıklanmış	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
hazırlanmış	hazırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
eğilmiş	eğ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
büyülemişse	büyüle+Verb+Pos+Narr+Cond+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
buymuş	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
pembeleşmiş	pembe+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
süslenmiş	süsle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
doğmuş	doğ+Verb+Pos+Narr+A3sg
ibaretmiş	ibaret+Adj^DB+Verb+Zero+Narr+A3sg
yüklenmiş	yükle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yaşlanmış	yaş+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
girmiş	gir+Verb+Pos+Narr+A3sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
rüyadaymış	rüya+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
gelmiş	gel+Verb+Pos+Narr+A3sg
etmiyormuş	et+Verb+Neg+Prog1+Narr+A3sg
değişmiş	değiş+Verb+Pos+Narr+A3sg
görülmemiş	gör+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yaşıyormuş	yaşa+Verb+Pos+Prog1+Narr+A3sg
beğenmiş	beğen+Verb+Pos+Narr+A3sg
biçilmiş	biç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
duymamış	duy+Verb+Neg+Narr+A3sg
kızarmış	kız+Verb+Pos+Aor+Narr+A3sg
varılmıyormuş	var+Verb^DB+Verb+Pass+Neg+Prog1+Narr+A3sg
varmış	var+Adj^DB+Verb+Zero+Narr+A3sg
değilmiş	değil+Verb+Neg+Narr+A3sg
yemiş	ye+Verb+Pos+Narr+A3sg
etmişler	et+Verb+Pos+Narr+A3pl
tanışıyormuş	tanış+Verb+Pos+Prog1+Narr+A3sg
dikmiş	dik+Verb+Pos+Narr+A3sg
canlanmış	can+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
coşmuş	coş+Verb+Pos+Narr+A3sg
sevmemiş	sev+Verb+Neg+Narr+A3sg
duygulanmış	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
sıkmış	sık+Verb+Pos+Narr+A3sg
kenetlenmiş	kenetle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
evlenecekmişsiniz	evlen+Verb+Pos+Fut+Narr+A2pl
bildirmemiş	bil+Verb^DB+Verb+Caus+Neg+Narr+A3sg
duymuş	duy+Verb+Pos+Narr+A3sg
kızmış	kız+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
benmişim	ben+Pron+Pers+A1sg+Pnon+Nom^DB+Verb+Zero+Narr+A1sg
öğrenmiş	öğren+Verb+Pos+Narr+A3sg
görmüş	gör+Verb+Pos+Narr+A3sg
bırakmamışsınız	bırak+Verb+Neg+Narr+A2pl
dinlemişsiniz	dinle+Verb+Pos+Narr+A2pl
sormuş	sor+Verb+Pos+Narr+A3sg
kalmamış	kal+Verb+Neg+Narr+A3sg
demekmiş	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
yanılmamışım	yanıl+Verb+Neg+Narr+A1sg
yaslanmış	yasla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
inanmış	inan+Verb+Pos+Narr+A3sg
etmiş	et+Verb+Pos+Narr+A3sg
tartamamışım	tart+Verb^DB+Verb+Able+Neg+Narr+A1sg
yığılmış	yığ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
daldırmış	dal+Verb^DB+Verb+Caus+Pos+Narr+A3sg
tutulmuş	tut+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bozulmuş	boz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kanatlanmış	kanat+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
korkuyormuş	kork+Verb+Pos+Prog1+Narr+A3sg
kararmış	kar+Verb+Pos+Aor+Narr+A3sg
kesilmemiş	kes+Verb^DB+Verb+Pass+Neg+Narr+A3sg
emretmemiş	emret+Verb+Neg+Narr+A3sg
çıkmış	çık+Verb+Pos+Narr+A3sg
yapılmış	yap+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yetemezmiş	yet+Verb^DB+Verb+Able+Neg+Aor+Narr+A3sg
koşulurmuş	koş+Verb^DB+Verb+Pass+Pos+Aor+Narr+A3sg
almış	al+Verb+Pos+Narr+A3sg
telaşlanmış	telaş+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
yetişmemiş	yetiş+Verb+Neg+Narr+A3sg
dürülmüş	dür+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kaybetmiş	kaybet+Verb+Pos+Narr+A3sg
yatmış	yat+Verb+Pos+Narr+A3sg
görülmüş	gör+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yetmiyormuş	yet+Verb+Neg+Prog1+Narr+A3sg
örülmüş	ör+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çiğnemiş	çiğne+Verb+Pos+Narr+A3sg
anlamış	anla+Verb+Pos+Narr+A3sg
uyanmış	uyan+Verb+Pos+Narr+A3sg
kaçmış	kaç+Verb+Pos+Narr+A3sg
durmamış	dur+Verb+Neg+Narr+A3sg
etmemiş	et+Verb+Neg+Narr+A3sg
gizleyememiş	gizle+Verb^DB+Verb+Able+Neg+Narr+A3sg
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
çekilmiş	çek+Verb^DB+Verb+Pass+Pos+Narr+A3sg
becermiş	becer+Verb+Pos+Narr+A3sg
geçirmiş	geç+Verb^DB+Verb+Caus+Pos+Narr+A3sg
konuşuyormuş	konuş+Verb+Pos+Prog1+Narr+A3sg
alışmış	alış+Verb+Pos+Narr+A3sg
çalmışlar	çal+Verb+Pos+Narr+A3pl
acımamışlar	acı+Verb+Neg+Narr+A3pl
boyamışlar	boya+Verb+Pos+Narr+A3pl
oynatılmış	oynat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kalkmış	kalk+Verb+Pos+Narr+A3sg
selamlayacaklarmış	selamla+Verb+Pos^DB+Noun+FutPart+A3pl+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
dönmüş	dön+Verb+Pos+Narr+A3sg
dağılmış	dağıl+Verb+Pos+Narr+A3sg
edilmemiş	et+Verb^DB+Verb+Pass+Neg+Narr+A3sg
vuracakmış	vur+Verb+Pos+Fut+Narr+A3sg
dokunmamış	doku+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yaklaşmış	yaklaş+Verb+Pos+Narr+A3sg
yaşanmış	yaşa+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kesmiş	kes+Verb+Pos+Narr+A3sg
yakalamış	yakala+Verb+Pos+Narr+A3sg
olurmuşuz	ol+Verb+Pos+Aor+Narr+A1pl
sersemlemiş	sersemle+Verb+Pos+Narr+A3sg
yırtılmış	yırt+Verb^DB+Verb+Pass+Pos+Narr+A3sg
korkutmuş	kork+Verb^DB+Verb+Caus+Pos+Narr+A3sg
ürpermiş	ürper+Verb+Pos+Narr+A3sg
ezilmiş	ez+Verb^DB+Verb+Pass+Pos+Narr+A3sg
uzamış	uza+Verb+Pos+Narr+A3sg
büzülmüş	büz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yokmuş	yok+Adj^DB+Verb+Zero+Narr+A3sg
kaybolmuş	kaybol+Verb+Pos+Narr+A3sg
bitirmiş	bit+Verb^DB+Verb+Caus+Pos+Narr+A3sg
oturmuş	otur+Verb+Pos+Narr+A3sg
eğmiş	eğ+Verb+Pos+Narr+A3sg
bıkmış	bık+Verb+Pos+Narr+A3sg
usanmış	usan+Verb+Pos+Narr+A3sg
karışmış	karış+Verb+Pos+Narr+A3sg
