bulunuyor	bulun+Verb+Pos+Prog1+A3sg
ediliyor	et+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
belirtiliyor	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
ilgilendirmiyor	ilgilen+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
inanamıyorum	inan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
istiyorsan	iste+Verb+Pos+Prog1+Cond+A2sg
yapıyorsa	yap+Verb+Pos+Prog1+Cond+A3sg
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
geliyor	gel+Verb+Pos+Prog1+A3sg
sanıyorum	san+Verb+Pos+Prog1+A1sg
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
buluyorum	bula+Verb+Pos+Prog1+A1sg
hissediyorum	hisset+Verb+Pos+Prog1+A1sg
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
sarıyor	sar+Verb+Pos+Prog1+A3sg
öpüyorum	öp+Verb+Pos+Prog1+A1sg
görüyor	gör+Verb+Pos+Prog1+A3sg
kalıyor	kal+Verb+Pos+Prog1+A3sg
sinirlendiriyorsun	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Prog1+A2sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
istiyorum	iste+Verb+Pos+Prog1+A1sg
geçiyorsun	geç+Verb+Pos+Prog1+A2sg
yapıyor	yap+Verb+Pos+Prog1+A3sg
hayıflanıyorum	hayıf+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+A1sg
kastediyorsun	kastet+Verb+Pos+Prog1+A2sg
istiyorsa	iste+Verb+Pos+Prog1+Cond+A3sg
gerektiriyor	gerek+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
ediyorum	et+Verb+Pos+Prog1+A1sg
yaratıyorlar	yara+Verb^DB+Verb+Caus+Pos+Prog1+A3pl
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
sallıyor	salla+Verb+Pos+Prog1+A3sg
hissettiriyorsa	hisset+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
onaylıyorum	onayla+Verb+Pos+Prog1+A1sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
bakıyor	bak+Verb+Pos+Prog1+A3sg
ediyorsun	et+Verb+Pos+Prog1+A2sg
saçıyor	saç+Verb+Pos+Prog1+A3sg
yapamıyor	yap+Verb^DB+Verb+Able+Neg+Prog1+A3sg
diliyorum	dile+Verb+Pos+Prog1+A1sg
görünmüyor	görün+Verb+Neg+Prog1+A3sg
gidiyor	git+Verb+Pos+Prog1+A3sg
oturuyor	otur+Verb+Pos+Prog1+A3sg
düşünüyorsunuz	düşün+Verb+Pos+Prog1+A2pl
hatırlamıyorum	hatırla+Verb+Neg+Prog1+A1sg
ediyor	et+Verb+Pos+Prog1+A3sg
gidiyorum	git+Verb+Pos+Prog1+A1sg
gösteriyorum	göster+Verb+Pos+Prog1+A1sg
yapıyorsunuz	yap+Verb+Pos+Prog1+A2pl
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
çarpıyor	çarp+Verb+Pos+Prog1+A3sg
