değil	değil+Verb+Neg+Pres+A3sg
almayacaklarını	al+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
aşmamak	aş+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
bulunmadığını	bulun+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
verilmediğini	ver+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
olmadığını	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
edemez	et+Verb^DB+Verb+Able+Neg+Aor+A3sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
vermeyeceğini	ver+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
vermezsin	ver+Verb+Neg+Aor+A2sg
olmadığından	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
olmayan	ol+Verb+Neg^DB+Adj+PresPart
vermedi	ver+Verb+Neg+Past+A3sg
duymuyordu	duy+Verb+Neg+Prog1+Past+A3sg
çıkmamıştı	çık+Verb+Neg+Narr+Past+A3sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
etmedi	et+Verb+Neg+Past+A3sg
değildir	değil+Verb+Neg+Pres+A3sg+Cop
ilgilendirmiyor	ilgilen+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
inanamıyorum	inan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
söylemedim	söyle+Verb+Neg+Past+A1sg
nişanlanmadığımı	nişanla+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
istemem	iste+Verb+Neg+Aor+A1sg
yanılmaz	yan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
unutmazsa	unut+Verb+Neg+Aor+Cond+A3sg
onaylamam	onayla+Verb+Neg+Aor+A1sg
onaylamamam	onayla+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
gelmedik	gel+Verb+Neg+Past+A1pl
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
olmasın	ol+Verb+Neg+Imp+A3sg
olmazdı	ol+Verb+Neg+Aor+Past+A3sg
