kalacak	kal+Verb+Pos+Fut+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
sevecek	sev+Verb+Pos+Fut+A3sg
bulacak	bul+Verb+Pos+Fut+A3sg
sürecek	sür+Verb+Pos+Fut+A3sg
öldüreceğim	öl+Verb^DB+Verb+Caus+Pos+Fut+A1sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
olacak	ol+Verb+Pos+Fut+A3sg
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
bozacak	boz+Verb+Pos+Fut+A3sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
yapacak	yap+Verb+Pos+Fut+A3sg
geçecek	geç+Verb+Pos+Fut+A3sg
başlayacak	başla+Verb+Pos+Fut+A3sg
sağlayacaktır	sağla+Verb+Pos+Fut+A3sg+Cop
edeceğim	et+Verb+Pos+Fut+A1sg
söyleyecektir	söyle+Verb+Pos+Fut+A3sg+Cop
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
göreceksiniz	gör+Verb+Pos+Fut+A2pl
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
sinirlenecek	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
olacağım	ol+Verb+Pos+Fut+A1sg
bulacağım	bul+Verb+Pos+Fut+A1sg
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
edemeyeceğim	et+Verb^DB+Verb+Able+Neg+Fut+A1sg
seveceksin	sev+Verb+Pos+Fut+A2sg
olacaksın	ol+Verb+Pos+Fut+A2sg
gösterecek	göster+Verb+Pos+Fut+A3sg
olmayacak	ol+Verb+Neg+Fut+A3sg
geleceksin	gel+Verb+Pos+Fut+A2sg
unutacaksınız	unut+Verb+Pos+Fut+A2pl
kalkacak	kalk+Verb+Pos+Fut+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
adayacağım	ada+Verb+Pos+Fut+A1sg
izleyeceğim	izle+Verb+Pos+Fut+A1sg
girecek	gir+Verb+Pos+Fut+A3sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
olacaktır	ol+Verb+Pos+Fut+A3sg+Cop
çıkmayacağım	çık+Verb+Neg+Fut+A1sg
verecekler	ver+Verb+Pos+Fut+A3pl
duyacaksınız	duy+Verb+Pos+Fut+A2pl
gideceğim	git+Verb+Pos+Fut+A1sg
kopacak	kop+Verb+Pos+Fut+A3sg
bulacaksınız	bul+Verb+Pos+Fut+A2pl
başlayacağım	başla+Verb+Pos+Fut+A1sg
eriyecek	eri+Verb+Pos+Fut+A3sg
geleceklerdir	gel+Verb+Pos+Fut+A3pl+Cop
uyandıracaksınız	uyan+Verb^DB+Verb+Caus+Pos+Fut+A2pl
bahsedecek	bahset+Verb+Pos+Fut+A3sg
ayıracaksınız	ayır+Verb+Pos+Fut+A2pl
koruyacaksınız	koru+Verb+Pos+Fut+A2pl
parlayacak	parla+Verb+Pos+Fut+A3sg
sereceğim	ser+Verb+Pos+Fut+A1sg
tekrarlayacağım	tekrarla+Verb+Pos+Fut+A1sg
sokacaklardı	sok+Verb+Pos+Fut+A3pl+Past
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
bulunacağım	bulun+Verb+Pos+Fut+A1sg
uğratacak	uğra+Verb^DB+Verb+Caus+Pos+Fut+A3sg
anlayacaklar	anla+Verb+Pos+Fut+A3pl
bakabileceksiniz	bak+Verb+Pos^DB+Verb+Able+Fut+A2pl
bakacağım	bak+Verb+Pos+Fut+A1sg
diyeceğim	de+Verb+Pos+Fut+A1sg
yayacağım	yay+Verb+Pos+Fut+A1sg
anlatacağım	anla+Verb^DB+Verb+Caus+Pos+Fut+A1sg
verecek	ver+Verb+Pos+Fut+A3sg
inceleyecek	incele+Verb+Pos+Fut+A3sg
çatırdatacak	çatırda+Verb^DB+Verb+Caus+Pos+Fut+A3sg
vereceksiniz	ver+Verb+Pos+Fut+A2pl
konacak	kon+Verb+Pos+Fut+A3sg
bilemeyecektir	bil+Verb^DB+Verb+Able+Neg+Fut+A3sg+Cop
bahsedeceğim	bahset+Verb+Pos+Fut+A1sg
söyleyeceğim	söyle+Verb+Pos+Fut+A1sg
sokacak	sok+Verb+Pos+Fut+A3sg
yapacağım	yap+Verb+Pos+Fut+A1sg
bakacak	bak+Verb+Pos+Fut+A3sg
düşünecek	düşün+Verb+Pos+Fut+A3sg
alevlenecek	alev+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
edeceklerdir	et+Verb+Pos+Fut+A3pl+Cop
olacaksınız	ol+Verb+Pos+Fut+A2pl
koyacak	koy+Verb+Pos+Fut+A3sg
çalışacağım	çalış+Verb+Pos+Fut+A1sg
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
koyacağız	koy+Verb+Pos+Fut+A1pl
soracağım	sor+Verb+Pos+Fut+A1sg
dayanamayacağım	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A1sg
kaçacağım	kaç+Verb+Pos+Fut+A1sg
kalkacaksınız	kalk+Verb+Pos+Fut+A2pl
çekileceğim	çek+Verb^DB+Verb+Pass+Pos+Fut+A1sg
dayanamayacak	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
geleceklerdi	gel+Verb+Pos+Fut+A3pl+Past
kıvıracağım	kıvır+Verb+Pos+Fut+A1sg
kıvıracak	kıvır+Verb+Pos+Fut+A3sg
sarılabileceğim	sar+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A1sg
öğrenecek	öğren+Verb+Pos+Fut+A3sg
dokunacak	doku+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yaklaşacak	yaklaş+Verb+Pos+Fut+A3sg
unutulacak	unut+Verb^DB+Verb+Pass+Pos+Fut+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
kalacağım	kal+Verb+Pos+Fut+A1sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
geçireceğim	geç+Verb^DB+Verb+Caus+Pos+Fut+A1sg
edilecek	et+Verb^DB+Verb+Pass+Pos+Fut+A3sg
onaracağım	onar+Verb+Pos+Fut+A1sg
döneceğiz	dön+Verb+Pos+Fut+A1pl
sayılabilecek	say+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
bulunacak	bulun+Verb+Pos+Fut+A3sg
bilmeyecek	bil+Verb+Neg+Fut+A3sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
güleceksiniz	gül+Verb+Pos+Fut+A2pl
göremeyecek	gör+Verb^DB+Verb+Able+Neg+Fut+A3sg
ayrılacağız	ayır+Verb^DB+Verb+Pass+Pos+Fut+A1pl
düşleyeceğim	düşle+Verb+Pos+Fut+A1sg
bulunmayacağım	bulun+Verb+Neg+Fut+A1sg
uyacaksınız	uy+Verb+Pos+Fut+A2pl
çıkacaktır	çık+Verb+Pos+Fut+A3sg+Cop
verebilecek	ver+Verb+Pos^DB+Verb+Able+Fut+A3sg
yakacak	yak+Verb+Pos+Fut+A3sg
koparacağım	kop+Verb^DB+Verb+Caus+Pos+Fut+A1sg
akıtacağım	ak+Verb^DB+Verb+Caus+Pos+Fut+A1sg
satacak	sat+Verb+Pos+Fut+A3sg
bulacağız	bul+Verb+Pos+Fut+A1pl
götüremeyecek	götür+Verb^DB+Verb+Able+Neg+Fut+A3sg
gerekecek	gerek+Verb+Pos+Fut+A3sg
değecek	değ+Verb+Pos+Fut+A3sg
süreceksin	sür+Verb+Pos+Fut+A2sg
vereceksin	ver+Verb+Pos+Fut+A2sg
anlatmayacak	anla+Verb^DB+Verb+Caus+Neg+Fut+A3sg
büyüyecek	büyü+Verb+Pos+Fut+A3sg
baltalanacaksın	baltala+Verb^DB+Verb+Pass+Pos+Fut+A2sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
doğacaktır	doğ+Verb+Pos+Fut+A3sg+Cop
pişirilecek	piş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
yapacağız	yap+Verb+Pos+Fut+A1pl
satılabilecek	sat+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
toplayacak	topla+Verb+Pos+Fut+A3sg
