rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
gözlendi	gözle+Verb^DB+Verb+Pass+Pos+Past+A3sg
düzeltti	düzel+Verb^DB+Verb+Caus+Pos+Past+A3sg
çıkardı	çık+Verb^DB+Verb+Caus+Pos+Past+A3sg
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
ödendi	öde+Verb^DB+Verb+Pass+Pos+Past+A3sg
gerçekleşti	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Past+A3sg
olmuştu	ol+Verb+Pos+Narr+Past+A3sg
bildirdiler	bil+Verb^DB+Verb+Caus+Pos+Past+A3pl
bildirdi	bil+Verb^DB+Verb+Caus+Pos+Past+A3sg
yaptı	yap+Verb+Pos+Past+A3sg
bulundu	bulun+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
çekildi	çek+Verb^DB+Verb+Pass+Pos+Past+A3sg
istendi	iste+Verb^DB+Verb+Pass+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
edildi	et+Verb^DB+Verb+Pass+Pos+Past+A3sg
verdi	ver+Verb+Pos+Past+A3sg
olsaydım	ol+Verb+Pos+Desr+Past+A1sg
olsaydı	ol+Verb+Pos+Desr+Past+A3sg
yapardım	yap+Verb+Pos+Aor+Past+A1sg
gördüm	gör+Verb+Pos+Past+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
indiler	in+Verb+Pos+Past+A3pl
geçmişti	geç+Verb+Pos+Narr+Past+A3sg
gerekiyordu	gerek+Verb+Pos+Prog1+Past+A3sg
istiyordu	iste+Verb+Pos+Prog1+Past+A3sg
yaratacaktı	yara+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayrıldılar	ayır+Verb^DB+Verb+Pass+Pos+Past+A3pl
vardı	var+Adj^DB+Verb+Zero+Past+A3sg
okşadı	okşa+Verb+Pos+Past+A3sg
bekliyordu	bekle+Verb+Pos+Prog1+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
işitiyordu	işit+Verb+Pos+Prog1+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
düşünüyordu	düşün+Verb+Pos+Prog1+Past+A3sg
olmalıydı	ol+Verb+Pos+Neces+Past+A3sg
izliyordu	izle+Verb+Pos+Prog1+Past+A3sg
dökülüyordu	dök+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
durmaktaydı	dur+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
gitti	git+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
ıslanmıştı	ısla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
gördü	gör+Verb+Pos+Past+A3sg
döndürdü	dön+Verb^DB+Verb+Caus+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
dolandırıyordu	dolan+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
miydin	mi+Ques+Past+A2sg
geçirdi	geç+Verb^DB+Verb+Caus+Pos+Past+A3sg
solumasıydı	solu+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çatmıştı	çat+Verb+Pos+Narr+Past+A3sg
duymuyordu	duy+Verb+Neg+Prog1+Past+A3sg
yaratıyordu	yara+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
