değil	değil+Verb+Neg+Pres+A3sg
yaşındayım	yaş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
mi	mi+Ques+Pres+A3sg
mu	mu+Ques+Pres+A3sg
üzgünüm	üzgün+Adj^DB+Verb+Zero+Pres+A1sg
değildir	değil+Verb+Neg+Pres+A3sg+Cop
mı	mı+Ques+Pres+A3sg
duygusaldır	duygusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
iyidir	iyi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sahiptir	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
misin	mi+Ques+Pres+A2sg
ciddiyim	ciddi+Adj^DB+Verb+Zero+Pres+A1sg
musun	mu+Ques+Pres+A2sg
kılmasıdır	kıl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
renksizdirler	renk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3pl+Cop
vardır	var+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gayesidir	gaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ibarettir	ibaret+Adj^DB+Verb+Zero+Pres+A3sg+Cop
budur	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
insansın	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
korkmamızdır	kork+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkudur	korku+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçenlerdir	geç+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
aptallıktır	aptal+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
eminim	emin+Adj^DB+Verb+Zero+Pres+A1sg
pratiktirler	pratik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kadınlardır	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
birisin	bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg
hayvandır	hayvan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yemindir	yemin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şeydir	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aitler	ait+Postp+PCDat^DB+Verb+Zero+Pres+A3pl
sınavıdır	sınav+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işaretidir	işaret+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iyiyizdir	iyi+Adj^DB+Verb+Zero+Pres+A1pl+Cop
olmayız	ol+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
olmasıdır	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
temsilcisidir	temsilci+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
durumdayız	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1pl
yetmemesidir	yet+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
imtiyazıdır	imtiyaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
mecburdur	mecbur+Adj^DB+Verb+Zero+Pres+A3sg+Cop
fevkaladedir	fevkalade+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kullanmadıklarıdır	kullan+Verb+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belasıdır	bela+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kötüsün	kötü+Adj^DB+Verb+Zero+Pres+A2sg
mısınız	mı+Ques+Pres+A2pl
çeşididir	çeşit+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hazırım	hazır+Adj^DB+Verb+Zero+Pres+A1sg
gerçektirler	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
başlasın	baş+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
biridir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
demektir	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
üstündür	üst+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A3sg+Cop
içindedir	iç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
gereklidir	gerek+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
midir	mi+Ques+Pres+A3sg+Cop
doğrudur	doğru+Adj^DB+Verb+Zero+Pres+A3sg+Cop
köyüm	köy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
babamdır	baba+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
musunuz	mu+Ques+Pres+A2pl
değilim	değil+Verb+Neg+Pres+A1sg
misiniz	mi+Ques+Pres+A2pl
mü	mü+Ques+Pres+A3sg
çalayım	çal+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A1sg
güzeldir	güzel+Adj^DB+Verb+Zero+Pres+A3sg+Cop
zamandır	zaman+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tuhafsınız	tuhaf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
örneklerindensiniz	örnek+Noun+A3pl+P3sg+Abl^DB+Verb+Zero+Pres+A2pl
temsilcisisiniz	temsilci+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
olmayasınız	ol+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A2pl
olanıdır	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
annedir	anne+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tüketmeyeyim	tüket+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A1sg
heyecanlısınız	heyecan+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A2pl
değilsiniz	değil+Verb+Neg+Pres+A2pl
sesiniz	ses+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A1pl
bitkinsiniz	bitkin+Adj^DB+Verb+Zero+Pres+A2pl
adamsınız	ada+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A2pl
haklısınız	hak+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A2pl
ölümlüyüz	ölümlü+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
gençsiniz	genç+Adj^DB+Verb+Zero+Pres+A2pl
anneyim	anne+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
şahidim	şahit+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
temizdir	temiz+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sonucudur	sonuç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
farkındasınız	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A2pl
miyim	mi+Ques+Pres+A1sg
düşüncelisiniz	düşüncel+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
kurbanısınız	kurban+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
aşktır	aşk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çıkarınım	çıkar+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A1sg
insansınız	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
tecrübesizsiniz	tecrübe+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A2pl
onurludur	onur+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
safsınız	saf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
efendisin	efendi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
mısın	mı+Ques+Pres+A2sg
gibiyim	gibi+Postp+PCNom^DB+Verb+Zero+Pres+A1sg
gündür	gün+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iyiyim	iyi+Adj^DB+Verb+Zero+Pres+A1sg
korusun	koru+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
şaşkınsınızdır	şaşkın+Adj^DB+Verb+Zero+Pres+A2pl+Cop
gerisin	geri+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
biriyimdir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1sg+Cop
heyecanlıyım	heyecan+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg
kolum	kol+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
yoktur	yok+Adj^DB+Verb+Zero+Pres+A3sg+Cop
vaziyetteyim	vaziyet+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1sg
dinlesin	din+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
birisiniz	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
sahibim	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
miyiz	mi+Ques+Pres+A1pl
sabırsızsınız	sabır+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A2pl
zorundayım	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
biriyim	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1sg
razıyım	razı+Adj^DB+Verb+Zero+Pres+A1sg
zorundasınız	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A2pl
mudur	mu+Ques+Pres+A3sg+Cop
durumdalar	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl
nasılsın	nasıl+Adj^DB+Verb+Zero+Pres+A2sg
adamdır	adam+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
insanlardır	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
çocuktur	çocuk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yaramazsın	yaramaz+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
neredeler	nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl
delikanlıdır	delikanlı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
beraberiz	beraber+Adj^DB+Verb+Zero+Pres+A1pl
gibidirler	gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3pl+Cop
bayım	bay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
biziz	biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
bizleriz	biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
yaşıyacağız	yaşıyacağ+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
tenekesidir	teneke+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sobadır	soba+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yıllıktır	yıllık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
demeksin	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
yerdir	yer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gevezesiniz	geveze+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
öyleyim	öyle+Adj^DB+Verb+Zero+Pres+A1sg
adetim	adet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
papazıdır	papaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
alemsin	alem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
güzelsiniz	güzel+Adj^DB+Verb+Zero+Pres+A2pl
muyum	mu+Ques+Pres+A1sg
hoşsun	hoş+Adj^DB+Verb+Zero+Pres+A2sg
olayım	olay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
sıhhatim	sıhhat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
huzurum	huzur+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
onurum	onur+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
serttir	sert+Adj^DB+Verb+Zero+Pres+A3sg+Cop
örtülüdür	örtü+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
örülüdür	örü+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
yakalanışımdır	yakala+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
manastır	manas+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
karışımıdır	karışım+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yasaktır	yasak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
